,Five String Serenade_Mazzy Star
0,five
1,string
2,serenade
3,beneath
4,water
5,play
6,i'm
7,playing
8,could
9,raining
10,easel
11,drew
12,thinking
13,roof
14,head
15,came
16,five
17,string
18,serenade
