,Without You_Mariah Carey
0,can't
1,forget
2,evening
3,face
4,leaving
5,guess
6,that's
7,way
8,story
9,goes
10,always
11,smile
12,eyes
13,sorrow
14,shows
15,yes
16,shows
17,can't
18,forget
19,tomorrow
20,think
21,sorrow
22,let
23,go
24,fair
25,let
26,know
27,know
28,can't
29,live
30,living
31,without
32,can't
33,live
34,can't
35,give
36,anymore
37,can't
38,live
39,living
40,without
41,can't
42,give
43,can't
44,give
45,anymore
46,well
47,can't
48,forget
49,evening
50,face
51,leaving
52,guess
53,that's
54,way
55,story
56,goes
57,always
58,smile
59,eyes
60,sorrow
61,show
62,yes
63,shows
64,can't
65,live
66,living
67,without
68,can't
69,live
70,can't
71,give
72,anymore
73,can't
74,live
75,living
76,without
77,can't
78,live
79,can't
80,give
81,anymore
82,can't
83,live
84,can't
85,live
86,hey
87,can't
88,live
89,can't
90,live
91,living
92,without
93,can't
94,live
95,can't
96,live
97,can't
98,give
99,anymore
100,can't
101,live
102,can't
103,live
104,can't
105,live
