,Love Street_The Doors
0,lives
1,love
2,street
3,lingers
4,long
5,love
6,street
7,house
8,garden
9,would
10,like
11,see
12,happens
13,robes
14,monkeys
15,lazy
16,diamond
17,studded
18,flunkies
19,wisdom
20,knows
21,piano
22,solo
23,wisdom
24,knows
25,see
26,live
27,love
28,street
29,there's
30,store
31,creatures
32,meet
33,wonder
34,summer
35,sunday
36,year
37,guess
38,like
39,fine
40,far
41,lives
42,love
43,street
44,lingers
45,long
46,love
47,street
48,house
49,garden
50,would
51,like
52,see
53,happens
54,la
55,la
56,la
57,lalalala
58,la
59,la
60,la
61,lalalala
62,la
63,la
64,la
65,lalalala
66,la
67,la
68,la
69,lalalala
