,Skinny Love_Birdy
0,come
1,skinny
2,love
3,last
4,year
5,pour
6,little
7,salt
8,never
9,staring
10,sink
11,blood
12,crushed
13,veneer
14,tell
15,love
16,wreck
17,cut
18,ropes
19,let
20,fall
21,right
22,moment
23,order's
24,tall
25,told
26,patient
27,told
28,fine
29,told
30,balanced
31,told
32,kind
33,morning
34,i'll
35,different
36,kind
37,'cause
38,i'll
39,holding
40,tickets
41,owning
42,fines
43,come
44,skinny
45,love
46,happened
47,suckled
48,hope
49,lite
50,brassieres
51,sullen
52,load
53,full
54,slow
55,split
56,told
57,patient
58,told
59,fine
60,told
61,balanced
62,told
63,kind
64,love
65,wasted
66,hell
67,'cause
68,i'm
69,breaking
70,bridges
71,end
72,lines
73,love
74,fight
75,fall
76,far
77,behind
78,come
79,skinny
80,love
