,So Sorry_Feist
0,i'm
1,sorry
2,two
3,words
4,always
5,think
6,gone
7,realize
8,acting
9,wrong
10,selfish
11,two
12,words
13,could
14,describe
15,oh
16,actions
17,mine
18,patience
19,short
20,supply
21,need
22,say
23,goodbye
24,need
25,fight
26,cry
27,oh
28,could
29,hold
30,tight
31,tonight
32,we're
33,helpless
34,we're
35,slaves
36,impulses
37,we're
38,afraid
39,emotions
40,one
41,knows
42,shore
43,we're
44,divided
45,oceans
46,thing
47,know
48,answer
49,us
50,answer
51,us
52,i'm
53,sorry
54,two
55,words
56,always
57,think
58,oh
59,gone
60,realize
61,acting
62,wrong
63,need
64,say
65,goodbye
66,need
67,fight
68,cry
69,could
70,could
71,hold
72,tight
73,tonight
74,tonight
75,tonight
76,tonight
