,Kill for Love_Chromatics
0,everybody’s
1,got
2,secret
3,hide
4,everyone
5,slipping
6,backwards
7,drank
8,water
9,felt
10,alright
11,took
12,pill
13,almost
14,every
15,night
16,mind
17,waiting
18,change
19,world
20,stayed
21,everybody’s
22,got
23,secret
24,hide
25,everyone
26,slipping
27,backwards
28,can’t
29,remember
30,like
31,said
32,can’t
33,remember
34,went
35,straight
36,head
37,kept
38,bottle
39,foot
40,bed
41,put
42,pillow
43,right
44,top
45,head
46,killed
47,love
48,musical
49,interlude
50,everybody’s
51,got
52,secret
53,hide
54,everyone
55,slipping
56,backwards
57,say
58,see
59,almost
60,every
61,time
62,little
63,number
64,counting
65,back
66,nine
67,can’t
68,remember
69,like
70,said
71,can’t
72,remember
73,went
74,straight
75,head
76,killed
77,love
