,Dilemma_Nelly
0,kelly
1,rowland
2,love
3,need
4,nelly
5,love
6,need
7,kelly
8,rowland
9,matter
10,woo
11,think
12,even
13,i'm
14,boo
15,boy
16,know
17,i'm
18,crazy
19,matter
20,think
21,even
22,i'm
23,boo
24,know
25,i'm
26,crazy
27,nelly
28,kelly
29,rowland
30,met
31,chick
32,moved
33,right
34,block
35,uh
36,got
37,hots
38,finest
39,thing
40,hood
41,done
42,seen
43,oh
44,oh
45,got
46,man
47,son
48,though
49,that's
50,okay
51,'cause
52,wait
53,cue
54,listen
55,play
56,position
57,like
58,shortstop
59,pick
60,e'rything
61,mami
62,hittin'
63,time
64,plan
65,make
66,one
67,mine
68,that's
69,sure
70,'cause
71,never
72,type
73,break
74,happy
75,home
76,uh
77,there's
78,somethin'
79,'bout
80,baby
81,girl
82,can't
83,leave
84,alone
85,tell
86,what's
87,gonna
88,said
89,know
90,mean
91,kelly
92,rowland
93,matter
94,woo
95,think
96,uh
97,huh
98,even
99,i'm
100,boo
101,boy
102,know
103,i'm
104,crazy
105,matter
106,think
107,even
108,i'm
109,boo
110,know
111,i'm
112,crazy
113,nelly
114,kelly
115,rowland
116,see
117,lot
118,look
119,never
120,say
121,word
122,know
123,niggas
124,start
125,actin'
126,trippin'
127,girls
128,there's
129,way
130,nelly
131,gon'
132,fight
133,dame
134,see
135,like
136,steez
137,style
138,whole
139,demeanor
140,way
141,come
142,holla
143,swoop
144,twoseater
145,that's
146,gangsta
147,got
148,special
149,ways
150,thank
151,ya
152,forget
153,uh
154,ain't
155,easy
156,pack
157,leave
158,uh
159,dirty
160,got
161,ties
162,different
163,reasons
164,respect
165,right
166,turn
167,leave
168,said
169,said
170,know
171,mean
172,kelly
173,rowland
174,matter
175,woo
176,think
177,uh
178,huh
179,even
180,i'm
181,boo
182,boy
183,know
184,i'm
185,crazy
186,matter
187,think
188,even
189,i'm
190,boo
191,know
192,i'm
193,crazy
194,interlude
195,nelly
196,sing
197,k
198,kelly
199,rowland
200,nelly
201,love
202,word
203,need
204,nelly
205,i…
206,love
207,do…
208,come
209,girl
210,ever
211,know
212,boy
213,sure
214,always
215,count
216,love
217,forever
218,yeah
219,yeah
220,break
221,nelly
222,east
223,coast
224,know
225,shakin'
226,right
227,south
228,know
229,bouncin'
230,right
231,west
232,coast
233,know
234,walkin'
235,right
236,'cause
237,know
238,mean
239,midwest
240,see
241,swingin'
242,right
243,kelly
244,rowland
245,matter
246,think
247,even
248,i'm
249,boo
250,boy
251,know
252,i'm
253,crazy
254,matter
255,think
256,even
257,i'm
258,boo
259,know
260,i'm
261,crazy
262,break
263,nelly
264,kelly
265,rowland
266,east
267,coast
268,know
269,shakin'
270,right
271,south
272,know
273,bouncin'
274,right
275,west
276,coast
277,know
278,walkin'
279,right
280,'cause
281,know
282,mean
283,midwest
284,see
285,swingin'
286,right
287,east
288,coast
289,still
290,shakin'
291,right
292,south
293,know
294,bouncin'
295,right
296,west
297,coast
298,know
299,walkin'
300,right
301,'cause
302,know
303,mean
304,midwest
305,see
306,swingin'
307,right
308,kelly
309,rowland
310,matter
311,woo
312,think
313,uh
314,huh
315,even
316,i'm
317,boo
318,boy
319,know
320,i'm
321,crazy
322,matter
323,think
324,even
325,i'm
326,boo
327,boy
328,know
329,i'm
330,crazy
331,matter
332,think
333,even
334,i'm
335,boo
336,boy
337,know
338,i'm
339,crazy
340,nelly
341,kelly
342,rowland
343,east
344,coast
345,know
346,shakin'
347,right
348,south
349,know
350,bouncin'
351,right
352,west
353,coast
354,know
355,walkin'
356,right
357,'cause
358,know
359,mean
360,midwest
361,see
362,swingin'
363,right
364,east
365,coast
366,still
367,shakin'
368,right
369,south
370,see
371,bouncin'
372,right
373,west
374,coast
375,know
376,walkin'
377,right
378,'cause
379,know
380,mean
381,midwest
382,see
383,swingin'
384,right
