,Shape of My Heart_Backstreet Boys
0,brian
1,mmmmh
2,yeah
3,yeah
4,baby
5,please
6,try
7,forgive
8,stay
9,put
10,glow
11,glow
12,glow
13,hold
14,bother
15,every
16,minute
17,makes
18,weaker
19,save
20,man
21,i've
22,become
23,oh
24,yeah
25,looking
26,back
27,things
28,i've
29,done
30,trying
31,someone
32,played
33,part
34,kept
35,dark
36,let
37,show
38,shape
39,heart
40,aj
41,sadness
42,beautiful
43,loneliness
44,that's
45,tragical
46,help
47,can't
48,win
49,war
50,oh
51,touch
52,bother
53,every
54,second
55,makes
56,weaker
57,save
58,man
59,i've
60,become
61,looking
62,back
63,things
64,i've
65,done
66,trying
67,someone
68,played
69,part
70,kept
71,dark
72,let
73,show
74,shape
75,heart
76,nick
77,i'm
78,confession
79,got
80,nothing
81,hide
82,know
83,start
84,show
85,shape
86,heart
87,i'm
88,lookin'
89,back
90,things
91,i've
92,done
93,never
94,wanna
95,play
96,old
97,part
98,i'll
99,keep
100,dark
101,dark
102,let
103,show
104,shape
105,heart
106,looking
107,back
108,things
109,i've
110,done
111,trying
112,someone
113,trying
114,someone
115,played
116,part
117,kept
118,dark
119,let
120,show
121,shape
122,heart
123,looking
124,back
125,things
126,i've
127,done
128,trying
129,someone
130,played
131,part
132,kept
133,dark
134,let
135,show
136,shape
137,aj
138,show
139,shape
140,heart
