,If You're Not the One_Daniel Bedingfield
0,one
1,soul
2,feel
3,glad
4,today
5,one
6,hand
7,fit
8,way
9,mine
10,heart
11,return
12,call
13,mine
14,would
15,strength
16,stand
17,prechorus
18,never
19,know
20,future
21,brings
22,know
23,we'll
24,make
25,hope
26,one
27,share
28,life
29,wanna
30,run
31,away
32,can't
33,take
34,understand
35,i'm
36,made
37,heart
38,tell
39,way
40,stay
41,arms
42,need
43,crying
44,bed
45,need
46,name
47,resound
48,head
49,distance
50,maim
51,life
52,dream
53,wife
54,prechorus
55,know
56,far
57,away
58,know
59,much
60,true
61,we'll
62,make
63,hope
64,one
65,share
66,life
67,wish
68,could
69,one
70,die
71,pray
72,one
73,build
74,home
75,hope
76,love
77,life
78,wanna
79,run
80,away
81,can't
82,take
83,understand
84,i'm
85,made
86,heart
87,tell
88,way
89,stay
90,arms
91,'cause
92,miss
93,body
94,soul
95,strong
96,takes
97,breath
98,away
99,breathe
100,heart
101,pray
102,strength
103,stand
104,today
105,'cause
106,love
107,whether
108,wrong
109,right
110,though
111,can't
112,tonight
113,know
114,heart
115,side
116,wanna
117,run
118,away
119,can't
120,take
121,understand
122,i'm
123,made
124,heart
125,tell
126,way
127,stay
128,arms
