,Is This Love_Whitesnake
0,known
1,better
2,let
3,go
4,alone
5,times
6,like
7,can't
8,make
9,wasted
10,days
11,sleepless
12,nights
13,can't
14,wait
15,see
16,find
17,spend
18,time
19,waiting
20,call
21,tell
22,babe
23,back's
24,wall
25,need
26,side
27,tell
28,alright
29,'cause
30,think
31,take
32,anymore
33,love
34,i'm
35,feeling
36,love
37,i've
38,searching
39,love
40,dreaming
41,must
42,love
43,cause
44,really
45,got
46,hold
47,hold
48,can't
49,stop
50,feeling
51,i've
52,way
53,i've
54,found
55,key
56,open
57,door
58,feel
59,love
60,growing
61,stronger
62,day
63,day
64,can't
65,wait
66,see
67,hold
68,arms
69,love
70,i'm
71,feeling
72,love
73,i've
74,searching
75,love
76,dreaming
77,must
78,love
79,cause
80,really
81,got
82,hold
83,hold
84,guitar
85,solo
86,love
87,i'm
88,feeling
89,love
90,i've
91,searching
92,love
93,dreaming
94,love
95,i've
96,searching
97,love
98,dreaming
99,love
100,i've
101,searching
102,love
103,dreaming
104,love
105,i've
106,searching
107,love
108,love
