,To Binge (Feat. Little Dragon)_Gorillaz
0,yukimi
1,nagano
2,waiting
3,mailbox
4,train
5,passin'
6,hills
7,'til
8,hear
9,name
10,i'm
11,looking
12,saw
13,cut
14,chains
15,half
16,want
17,someone
18,rely
19,thunder
20,comes
21,arolling
22,someone
23,rely
24,lightning
25,comes
26,astaring
27,2d
28,i'll
29,wait
30,forgiven
31,maybe
32,never
33,star
34,left
35,take
36,bitter
37,pill
38,shattered
39,feeling
40,well
41,cause
42,lesson
43,learned
44,know
45,could
46,roll
47,sea
48,know
49,could
50,said—it's
51,true
52,yukimi
53,nagano
54,waiting
55,room
56,lock
57,door
58,watch
59,coloured
60,animals
61,across
62,floor
63,i'm
64,looking
65,distance
66,i'm
67,listening
68,whispers
69,oh
70,ain't
71,falling
72,feeling
73,falling
74,caught
75,cauauauaught
76,2d
77,i'm
78,caught
79,mystery
80,side
81,still
82,answer's
83,somewhere
84,deep
85,i'm
86,sorry
87,feeling
88,tell
89,love
90,much
91,days
92,tell
93,love
94,much
95,days
96,true
97,2d
98,yukimi
99,nagano
100,heart
101,economy
102,due
103,autonomy
104,rolling
105,caught
106,cauauauaught
107,cauauauaught
108,cauauauaught
109,heart
110,economy
111,due
112,autonomy
113,cauauauaught
114,rolling
115,caught
116,cauauauaught
