,Unsolved Mysteries_Animal Collective
0,oh
1,look
2,sweet
3,boy's
4,plea
5,mother
6,cried
7,child's
8,tied
9,laces
10,must
11,move
12,happy
13,lawns
14,nostalgia's
15,palm
16,feed
17,traces
18,hop
19,dance
20,embarrass
21,parents
22,please
23,go
24,sleep
25,worrying
26,blood
27,dark
28,attract
29,sharks
30,violent
31,got
32,hungry
33,bellies
34,still
35,unborn
36,could
37,look
38,one
39,eye
40,could
41,look
42,eyes
43,could
44,look
45,eyes
46,what's
47,pain
48,what's
49,sadness
50,anyway
51,crying
52,like
53,child
54,what's
55,graying
56,what's
57,aging
58,anyway
59,growing
60,wild
61,feel
62,like
63,i've
64,born
65,look
66,green
67,eyes
68,look
69,black
70,eyes
71,look
72,dead
73,eyes
74,can't
75,understand
76,holding
77,hand
78,womanly
79,go
80,kiss
81,surprise
82,look
83,eyes
84,find
85,suddenly
86,jack
87,ripper
88,suddenly
89,jack
90,ripper
91,stopped
92,crying
93,like
94,child
95,stopped
96,crying
97,like
98,child
99,jack
100,ripper
101,x3
