,Eyes_Rogue Wave
0,missed
1,last
2,train
3,home
4,birds
5,pass
6,tell
7,i'm
8,alone
9,well
10,i'm
11,pushing
12,finish
13,part
14,handle
15,lot
16,one
17,thing
18,i'm
19,missing
20,eyes
21,eyes
22,eyes
23,eyes
24,eyes
25,eyes
26,seen
27,film
28,reminds
29,walking
30,avenues
31,we'll
32,washing
33,hands
34,attachments
35,yeah
36,land
37,ground
38,one
39,thing
40,i'm
41,missing
42,eyes
43,chorusoutro
44,eyes
45,eyes
46,eyes
47,eyes
48,eyes
49,eyes
50,eyes
51,eyes
52,eyes
53,eyes
54,eyes
55,eyes
56,eyes
57,eyes
58,eyes
