,Little Things_One Direction
0,zayn
1,liam
2,hand
3,fits
4,mine
5,like
6,made
7,bear
8,mind
9,meant
10,i'm
11,joining
12,dots
13,freckles
14,cheeks
15,makes
16,sense
17,know
18,never
19,loved
20,crinkles
21,eyes
22,smile
23,never
24,loved
25,stomach
26,thighs
27,dimples
28,back
29,bottom
30,spine
31,i’ll
32,love
33,endlessly
34,zayn
35,liam
36,let
37,little
38,things
39,slip
40,mouth
41,oh
42,add
43,i'm
44,love
45,little
46,things
47,louis
48,harry
49,harry
50,louis
51,harry
52,niall
53,can't
54,go
55,bed
56,without
57,cup
58,tea
59,maybe
60,that's
61,reason
62,talk
63,sleep
64,conversations
65,secrets
66,keep
67,though
68,makes
69,sense
70,know
71,never
72,loved
73,sound
74,voice
75,tape
76,never
77,want
78,know
79,much
80,weigh
81,still
82,squeeze
83,jeans
84,perfect
85,harry
86,niall
87,harry
88,let
89,little
90,things
91,slip
92,mouth
93,true
94,add
95,i'm
96,love
97,little
98,things
99,niall
100,never
101,love
102,half
103,much
104,love
105,never
106,treat
107,right
108,darling
109,want
110,let
111,know
112,i'm
113,maybe
114,love
115,like
116,love
117,oh
118,harry
119,i've
120,let
121,little
122,things
123,slip
124,mouth
125,'cause
126,oh
127,add
128,i'm
129,love
130,little
131,things
132,let
133,little
134,things
135,slip
136,mouth
137,true
138,add
139,i'm
140,love
141,little
142,things
