,A Spoonful Weighs a Ton_The Flaming Lips
0,though
1,sad
2,rescued
3,everyone
4,lifted
5,sun
6,spoonful
7,weighs
8,ton
9,giving
10,process
11,begun
12,million
13,came
14,one
15,limits
16,none
17,refrain
18,drunk
19,plan
20,lifted
21,sun
22,forcing
23,hands
24,trapdoor
25,came
26,undone
27,heads
28,swung
29,privilege
30,refrain
31,yelling
32,hard
33,doubters
34,stunned
35,heard
36,louder
37,gun
38,sound
39,made
40,love
