,City Love_John Mayer
0,never
1,liked
2,apple
3,much
4,always
5,seemed
6,big
7,touch
8,can't
9,remember
10,found
11,way
12,came
13,around
14,tell
15,everyone
16,smile
17,i've
18,got
19,city
20,love
21,found
22,lydia
23,can't
24,remember
25,life
26,name
27,keeps
28,toothbrush
29,place
30,extra
31,space
32,steals
33,clothes
34,wear
35,work
36,know
37,hairs
38,shirts
39,tell
40,everyone
41,smile
42,i've
43,got
44,city
45,love
46,found
47,lydia
48,can't
49,remember
50,life
51,name
52,day
53,called
54,came
55,covered
56,rain
57,dinnertime
58,shadowing
59,clothes
60,spun
61,spooned
62,knew
63,said
64,love
65,friday
66,evening
67,we've
68,drinking
69,swear
70,might
71,propose
72,close
73,tab
74,split
75,cab
76,call
77,get
78,home
79,falling
80,asleep
81,sound
82,sirens
83,tell
84,everyone
85,smile
86,i've
87,got
88,city
89,love
90,found
91,lydia
92,can't
93,remember
94,life
95,name
96,battery
97,gallery
98,kind
99,thing
100,see
101,scented
102,glossy
103,magazines
104,can't
105,remember
106,life
107,name
