,Cry Me Out_Pixie Lott
0,got
1,emails
2,get
3,females
4,what's
5,heart
6,head
7,anyway
8,mate
9,late
10,worth
11,wait
12,hands
13,since
14,blew
15,last
16,chance
17,played
18,cry
19,cry
20,tears
21,fall
22,mean
23,nothing
24,time
25,get
26,baby
27,ain't
28,baby
29,there's
30,way
31,back
32,keep
33,talkin'
34,baby
35,i'm
36,walkin'
37,away
38,found
39,messed
40,broken
41,back
42,believed
43,need
44,ya
45,pic
46,phone
47,proves
48,alone
49,yeah
50,care
51,we're
52,cry
53,cry
54,tears
55,fall
56,mean
57,nothing
58,time
59,get
60,baby
61,ain't
62,baby
63,there's
64,way
65,back
66,keep
67,talkin'
68,baby
69,i'm
70,walkin'
71,away
72,gonna
73,cry
74,gonna
75,cry
76,boy
77,ain't
78,doubt
79,gonna
80,cry
81,hurt
82,little
83,bit
84,boy
85,better
86,get
87,used
88,keep
89,talkin'
90,baby
91,i'm
92,walkin'
93,away
94,cry
95,cry
96,tears
97,fall
98,mean
99,nothing
100,time
101,get
102,'cause
103,baby
104,ain't
105,baby
106,there's
107,way
108,back
109,keep
110,talkin'
111,baby
112,i'm
113,walkin'
114,away
115,cry
116,cry
