,Home_Edward Sharpe & The Magnetic Zeros
0,jade
1,alexander
2,alabama
3,arkansas
4,love
5,pa
6,way
7,love
8,holy
9,moly
10,oh
11,apple
12,eye
13,girl
14,never
15,loved
16,one
17,like
18,man
19,oh
20,man
21,best
22,friend
23,scream
24,nothingness
25,ain't
26,nothing
27,need
28,hot
29,heavy
30,pumpkin
31,pie
32,chocolate
33,candy
34,jesus
35,christ
36,ain't
37,nothing
38,please
39,oh
40,home
41,let
42,come
43,home
44,home
45,whenever
46,i'm
47,oh
48,home
49,let
50,come
51,home
52,home
53,wherever
54,i'm
55,postchorus
56,la
57,la
58,la
59,la
60,take
61,home
62,mommy
63,i'm
64,coming
65,home
66,jade
67,alexander
68,i'll
69,follow
70,park
71,jungle
72,dark
73,girl
74,never
75,loved
76,one
77,like
78,moats
79,boats
80,waterfalls
81,alleyways
82,pay
83,phone
84,calls
85,everywhere
86,that's
87,true
88,laugh
89,think
90,we'll
91,die
92,barefoot
93,summer
94,night
95,never
96,could
97,sweeter
98,streets
99,run
100,afree
101,like
102,geeze
103,something
104,see
105,oh
106,home
107,let
108,come
109,home
110,home
111,whenever
112,i'm
113,oh
114,home
115,let
116,come
117,home
118,home
119,wherever
120,i'm
121,postchorus
122,la
123,la
124,la
125,la
126,take
127,home
128,daddy
129,i'm
130,coming
131,home
132,jade
133,alexander
134,spoken
135,jade
136,alexander
137,remember
138,day
139,fell
140,outta
141,window
142,sure
143,‒
144,came
145,jumping
146,well
147,fell
148,concrete
149,nearly
150,broke
151,ass
152,bleeding
153,place
154,rushed
155,hospital
156,remember
157,yes
158,well
159,there's
160,something
161,never
162,told
163,night
164,tell
165,sitting
166,back
167,seat
168,smoking
169,cigarette
170,thought
171,gonna
172,last
173,falling
174,deep
175,deeply
176,love
177,never
178,told
179,till
180,aww
181,oh
182,home
183,let
184,come
185,home
186,home
187,whenever
188,i'm
189,oh
190,home
191,let
192,come
193,home
194,home
195,i'm
196,alone
197,jade
198,alexander
199,home
200,let
201,come
202,home
203,home
204,wherever
205,i'm
206,home
207,yes
208,home
209,home
210,i'm
211,alone
212,alabama
213,arkansas
214,love
215,pa
216,moats
217,boats
218,waterfalls
219,alleyways
220,payphone
221,calls
222,oh
223,home
224,home
225,oh
226,home
227,home
228,home
229,wherever
230,i'm
231,oh
232,home
233,home
234,oh
235,home
236,home
237,home
238,wherever
239,i'm
