,Adore You_Miley Cyrus
0,ohoh
1,hey
2,ohoh
3,baby
4,baby
5,yeah
6,listening
7,wondering
8,life
9,started
10,living
11,oohoh
12,baby
13,listening
14,ohoh
15,say
16,love
17,know
18,love
19,say
20,need
21,know
22,need
23,boy
24,adore
25,adore
26,baby
27,hear
28,i'm
29,crying
30,i'm
31,scared
32,oh
33,scared
34,near
35,feel
36,like
37,i'm
38,standing
39,army
40,men
41,armed
42,weapons
43,say
44,love
45,know
46,love
47,say
48,need
49,know
50,need
51,boy
52,adore
53,adore
54,love
55,lying
56,next
57,could
58,eternity
59,we're
60,meant
61,holy
62,matrimony
63,god
64,knew
65,exactly
66,led
67,say
68,love
69,know
70,love
71,love
72,say
73,need
74,know
75,need
76,boy
77,adore
78,adore
79,say
80,love
81,know
82,love
83,say
84,need
85,know
86,need
87,boy
88,adore
89,adore
