,Nobody Does It Better_Carly Simon
0,nobody
1,better
2,makes
3,feel
4,sad
5,rest
6,nobody
7,half
8,good
9,baby
10,you’re
11,best
12,wasn’t
13,looking
14,somehow
15,found
16,tried
17,hide
18,love
19,light
20,like
21,heaven
22,spy
23,loved
24,keeping
25,secrets
26,safe
27,tonight
28,nobody
29,better
30,though
31,sometimes
32,wish
33,someone
34,could
35,nobody
36,quite
37,way
38,d’you
39,good
40,way
41,hold
42,whenever
43,hold
44,there’s
45,kind
46,magic
47,inside
48,keeps
49,running
50,keep
51,comin’
52,how’d
53,learn
54,things
55,oh
56,nobody
57,better
58,makes
59,feel
60,sad
61,rest
62,nobody
63,half
64,good
65,baby
66,baby
67,darlin’
68,you’re
69,best
70,baby
71,best
72,darlin'
73,best
74,baby
75,best
