,Crazy Love_Van Morrison
0,hear
1,heart
2,beat
3,thousand
4,miles
5,heavens
6,open
7,every
8,time
9,smiles
10,come
11,that's
12,belong
13,yet
14,run
15,like
16,river's
17,song
18,give
19,love
20,love
21,love
22,love
23,crazy
24,love
25,give
26,love
27,love
28,love
29,love
30,crazy
31,love
32,got
33,fine
34,sense
35,humour
36,i'm
37,feeling
38,low
39,come
40,sun
41,goes
42,take
43,away
44,trouble
45,take
46,away
47,grief
48,take
49,away
50,heartache
51,night
52,like
53,thief
54,give
55,love
56,love
57,love
58,love
59,crazy
60,love
61,give
62,love
63,love
64,love
65,love
66,crazy
67,love
68,need
69,daytime
70,need
71,need
72,night
73,need
74,want
75,throw
76,arms
77,around
78,need
79,kiss
80,hug
81,kiss
82,hug
83,tight
84,yet
85,i'm
86,returning
87,far
88,away
89,gives
90,sweet
91,lovin'
92,brighten
93,day
94,yet
95,make
96,righteous
97,yet
98,make
99,whole
100,yet
101,make
102,mellow
103,soul
104,give
105,love
106,love
107,love
108,love
109,crazy
110,love
111,give
112,love
113,love
114,love
115,love
116,crazy
117,love
118,give
119,love
120,love
121,love
122,love
123,crazy
124,love
125,give
126,love
127,love
128,love
129,love
130,crazy
131,love
