,Secret Garden_Bruce Springsteen
0,she'll
1,let
2,house
3,come
4,knocking
5,late
6,night
7,she'll
8,let
9,mouth
10,words
11,say
12,right
13,pay
14,price
15,she'll
16,let
17,deep
18,inside
19,there's
20,secret
21,garden
22,hides
23,she'll
24,let
25,car
26,go
27,driving
28,around
29,she'll
30,let
31,parts
32,bring
33,she'll
34,let
35,heart
36,got
37,hammer
38,vise
39,secret
40,garden
41,think
42,twice
43,gone
44,million
45,miles
46,far
47,would
48,get
49,place
50,can't
51,remember
52,can't
53,forget
54,she'll
55,lead
56,path
57,tenderness
58,air
59,she'll
60,let
61,come
62,far
63,enough
64,know
65,really
66,she'll
67,look
68,smile
69,eyes
70,say
71,got
72,secret
73,garden
74,everything
75,want
76,everything
77,need
78,always
79,stay
80,million
81,miles
82,away
