,A Message_Coldplay
0,song
1,love
2,love
3,loveless
4,shown
5,goes
6,alone
7,heavy
8,heart
9,made
10,stone
11,hard
12,see
13,clearly
14,i'm
15,gonna
16,take
17,back
18,i'm
19,gonna
20,say
21,mean
22,target
23,i'm
24,aiming
25,get
26,message
27,home
28,song
29,love
30,song
31,love
32,unknown
33,i'm
34,fire
35,clearly
36,alone
37,i'm
38,gonna
39,take
40,back
41,i'm
42,gonna
43,say
44,mean
45,target
46,i'm
47,aiming
48,i'm
49,nothing
50,got
51,get
52,message
53,home
54,i'm
55,gonna
56,stand
57,wait
58,i'm
59,gonna
60,leave
61,much
62,late
63,platform
64,i'm
65,gonna
66,stand
67,say
68,i'm
69,nothing
70,love
71,please
72,come
73,home
74,song
75,love
76,love
77,unknown
78,i've
79,got
80,get
81,message
82,home
