,Wings_Birdy
0,sunlight
1,comes
2,creepin'
3,illuminates
4,skin
5,watched
6,day
7,go
8,stories
9,made
10,think
11,made
12,think
13,trillion
14,stars
15,danced
16,top
17,cars
18,took
19,pictures
20,stage
21,far
22,made
23,think
24,made
25,think
26,oh
27,lights
28,go
29,moment
30,we're
31,lost
32,found
33,wanna
34,side
35,wings
36,could
37,fly
38,rest
39,lives
40,i'm
41,foreign
42,state
43,thoughts
44,slip
45,away
46,words
47,leavin'
48,caught
49,aeroplane
50,thought
51,thought
52,oh
53,lights
54,go
55,moment
56,we're
57,lost
58,found
59,wanna
60,side
61,wings
62,could
63,fly
64,oh
65,damn
66,walls
67,moment
68,we're
69,ten
70,feet
71,tall
72,told
73,we'd
74,remember
75,tonight
76,rest
77,lives
78,interlude
79,wings
80,could
81,fly
82,oh
83,lights
84,go
85,moment
86,we're
87,lost
88,found
89,wanna
90,side
91,wings
92,could
93,fly
94,oh
95,damn
96,walls
97,moment
98,we're
99,ten
100,feet
101,tall
102,told
103,we'd
104,remember
105,tonight
106,rest
107,lives
