,Name_Goo Goo Dolls
0,even
1,though
2,moment
3,passed
4,still
5,can't
6,turn
7,away
8,dreams
9,never
10,thought
11,lose
12,tossed
13,along
14,way
15,letters
16,never
17,meant
18,send
19,get
20,lost
21,thrown
22,away
23,we're
24,grownup
25,orphans
26,never
27,knew
28,names
29,belong
30,one
31,that's
32,shame
33,could
34,hide
35,beside
36,maybe
37,tell
38,one
39,name
40,tell
41,'em
42,name
43,scars
44,souvenirs
45,never
46,lose
47,past
48,never
49,far
50,lose
51,somewhere
52,get
53,star
54,make
55,sad
56,know
57,life
58,grew
59,way
60,fast
61,there's
62,nothing
63,believe
64,reruns
65,become
66,history
67,tired
68,song
69,keeps
70,playing
71,tired
72,radio
73,tell
74,one
75,name
76,tell
77,'em
78,name
79,tell
80,'em
81,name
82,tell
83,'em
84,name
85,think
86,time
87,need
88,lonely
89,come
90,back
91,tell
92,'em
93,name
