,Gorgeous_Taylor Swift
0,gorgeous
1,take
2,compliment
3,got
4,drunk
5,made
6,fun
7,way
8,talk
9,think
10,consequence
11,magnetic
12,field
13,little
14,strong
15,got
16,boyfriend
17,he's
18,older
19,us
20,he's
21,club
22,doin'
23,know
24,cool
25,makes
26,hate
27,much
28,hate
29,much
30,prechorus
31,whisky
32,ice
33,sunset
34,vine
35,ruined
36,life
37,mine
38,gorgeous
39,can't
40,say
41,anything
42,face
43,'cause
44,look
45,face
46,i'm
47,furious
48,making
49,feel
50,way
51,say
52,gorgeous
53,take
54,compliment
55,i'm
56,talking
57,everyone
58,think
59,consequence
60,touching
61,hand
62,darkened
63,room
64,dark
65,room
66,dark
67,room
68,got
69,girlfriend
70,i'm
71,jealous
72,single
73,that's
74,honestly
75,worse
76,'cause
77,gorgeous
78,actually
79,hurts
80,honey
81,hurts
82,prechorus
83,ocean
84,blue
85,eyes
86,looking
87,mine
88,feel
89,like
90,might
91,sink
92,drown
93,die
94,gorgeous
95,can't
96,say
97,anything
98,face
99,face
100,'cause
101,look
102,face
103,look
104,face
105,gorgeous
106,i'm
107,furious
108,making
109,feel
110,way
111,feel
112,way
113,say
114,gorgeous
115,make
116,happy
117,turns
118,back
119,sad
120,there's
121,nothing
122,hate
123,can't
124,gorgeous
125,makes
126,mad
127,mmh
128,make
129,happy
130,turns
131,back
132,sad
133,yeah
134,there's
135,nothing
136,hate
137,can't
138,guess
139,i'll
140,stumble
141,home
142,cats
143,yeugh
144,alone
145,unless
146,wanna
147,come
148,along
149,oh
150,gorgeous
151,can't
152,say
153,anything
154,face
155,face
156,'cause
157,look
158,face
159,look
160,face
161,i'm
162,furious
163,i'm
164,furious
165,making
166,feel
167,way
168,feel
169,way
170,say
171,say
172,gorgeous
173,make
174,happy
175,turns
176,back
177,sad
178,yeah
179,there's
180,nothing
181,hate
182,can't
183,gorgeous
184,makes
185,mad
186,mmh
187,gorgeous
188,make
189,happy
190,turns
191,back
192,sad
193,turns
194,back
195,sad
196,there's
197,nothing
198,hate
199,can't
200,gorgeous
201,makes
202,mad
203,mmh
204,gorgeous
