,Love Story_Taylor Swift
0,young
1,first
2,saw
3,close
4,eyes
5,flashback
6,starts
7,i'm
8,standing
9,balcony
10,summer
11,air
12,see
13,lights
14,see
15,party
16,ball
17,gowns
18,see
19,make
20,way
21,crowd
22,say
23,hello
24,little
25,know
26,prechorus
27,romeo
28,throwing
29,pebbles
30,daddy
31,said
32,stay
33,away
34,juliet
35,crying
36,staircase
37,begging
38,please
39,go
40,said
41,romeo
42,take
43,somewhere
44,alone
45,i'll
46,waiting
47,there's
48,left
49,run
50,prince
51,i'll
52,princess
53,love
54,story
55,baby
56,say
57,yes
58,sneak
59,garden
60,see
61,keep
62,quiet
63,'cause
64,we're
65,dead
66,knew
67,close
68,eyes
69,escape
70,town
71,little
72,prechorus
73,'cause
74,romeo
75,scarlet
76,letter
77,daddy
78,said
79,stay
80,away
81,juliet
82,everything
83,begging
84,please
85,go
86,said
87,romeo
88,take
89,somewhere
90,alone
91,i'll
92,waiting
93,there's
94,left
95,run
96,prince
97,i'll
98,princess
99,love
100,story
101,baby
102,say
103,yes
104,romeo
105,save
106,they're
107,trying
108,tell
109,feel
110,love
111,difficult
112,real
113,afraid
114,we'll
115,make
116,mess
117,love
118,story
119,baby
120,say
121,yes
122,oh
123,oh
124,got
125,tired
126,waiting
127,wondering
128,ever
129,coming
130,around
131,faith
132,fading
133,met
134,outskirts
135,town
136,said
137,romeo
138,save
139,i've
140,feeling
141,alone
142,keep
143,waiting
144,never
145,come
146,head
147,know
148,think
149,knelt
150,ground
151,pulled
152,ring
153,said
154,marry
155,juliet
156,never
157,alone
158,love
159,that's
160,really
161,know
162,talked
163,dad
164,go
165,pick
166,white
167,dress
168,love
169,story
170,baby
171,say
172,'yes'
173,oh
174,oh
175,oh
176,oh
177,'cause
178,young
179,first
180,saw
