,Forever_Ben Harper
0,talkin'
1,'bout
2,year
3,three
4,four
5,want
6,kind
7,forever
8,life
9,anymore
10,forever
11,always
12,seems
13,around
14,begins
15,forever
16,never
17,seems
18,around
19,ends
20,give
21,forever
22,please
23,forever
24,day
25,less
26,people
27,spend
28,much
29,time
30,every
31,single
32,day
33,runnin'
34,'round
35,town
36,givin'
37,forever
38,away
39,let
40,forever
41,roam
42,hope
43,find
44,forever
45,home
46,give
47,forever
48,please
49,forever
50,day
51,less
52,like
53,handless
54,clock
55,numbers
56,infinite
57,time
58,forever
59,found
60,mind
61,forever
62,always
63,seems
64,around
65,things
66,begin
67,forever
68,never
69,seems
70,around
71,things
72,end
73,give
74,forever
75,please
76,forever
77,day
78,less
