,Smile_Avril Lavigne
0,know
1,i'm
2,crazy
3,bitch
4,want
5,feel
6,like
7,wanna
8,lose
9,control
10,oh
11,oh
12,really
13,give
14,shit
15,go
16,go
17,go
18,'cause
19,fucking
20,crazy
21,rocknroll
22,prechorus
23,said
24,hey
25,what's
26,name
27,took
28,one
29,look
30,i'm
31,yeah
32,said
33,hey
34,since
35,day
36,stole
37,heart
38,one
39,blame
40,yeah
41,that's
42,smile
43,since
44,everyday
45,everything
46,felt
47,right
48,turn
49,around
50,suddenly
51,need
52,reason
53,whyiii
54,smiiile
55,last
56,night
57,blacked
58,think
59,put
60,drink
61,remember
62,making
63,oh
64,oh
65,woke
66,new
67,tattoo
68,name
69,name
70,would
71,prechorus
72,said
73,hey
74,hey
75,what's
76,name
77,what's
78,name
79,took
80,one
81,look
82,i'm
83,yeah
84,said
85,hey
86,hey
87,since
88,day
89,since
90,day
91,stole
92,heart
93,one
94,blame
95,yeah
96,that's
97,smile
98,since
99,everyday
100,everything
101,felt
102,right
103,turn
104,around
105,suddenly
106,need
107,reason
108,whyiii
109,smiiile
110,know
111,i'm
112,crazy
113,bitch
114,want
115,feel
116,like
117,want
118,lose
119,control
120,know
121,i'm
122,crazy
123,bitch
124,want
125,feel
126,like
127,want
128,lose
129,controlool
130,that's
131,smile
132,smile
133,since
134,everyday
135,everything
136,felt
137,right
138,turn
139,around
140,suddenly
141,need
142,reason
143,whyiii
144,smiiile
145,reason
146,reason
147,whyiii
148,smiiile
149,reason
150,whyiii
151,smiiile
