,Love Song_Sara Bareilles
0,head
1,water
2,tell
3,breathe
4,easy
5,breathing
6,gets
7,harder
8,even
9,know
10,made
11,room
12,soon
13,see
14,i'm
15,happy
16,hands
17,i'm
18,unusually
19,hard
20,hold
21,blank
22,stares
23,blank
24,pages
25,easy
26,way
27,say
28,mean
29,well
30,make
31,hard
32,i'm
33,gonna
34,write
35,love
36,song
37,'cause
38,asked
39,'cause
40,need
41,one
42,see
43,i'm
44,gonna
45,write
46,love
47,song
48,'cause
49,tell
50,make
51,break
52,way
53,i'm
54,gonna
55,write
56,stay
57,leaving
58,i'm
59,gonna
60,need
61,better
62,reason
63,write
64,love
65,song
66,today
67,learned
68,hard
69,way
70,say
71,things
72,wanna
73,hear
74,heavy
75,heart
76,sinks
77,deep
78,twisted
79,words
80,help
81,hurts
82,thought
83,hello
84,high
85,dry
86,convinced
87,please
88,made
89,think
90,need
91,i'm
92,trying
93,let
94,hear
95,i'm
96,gonna
97,write
98,love
99,song
100,'cause
101,asked
102,'cause
103,need
104,one
105,see
106,i'm
107,gonna
108,write
109,love
110,song
111,'cause
112,tell
113,make
114,break
115,way
116,i'm
117,gonna
118,write
119,stay
120,leaving
121,i'm
122,gonna
123,need
124,better
125,reason
126,write
127,love
128,song
129,today
130,promise
131,leave
132,light
133,help
134,see
135,daylight
136,guide
137,gone
138,'cause
139,believe
140,there's
141,way
142,love
143,say
144,write
145,love
146,song
147,'cause
148,asked
149,'cause
150,need
151,one
152,see
153,i'm
154,gonna
155,write
156,love
157,song
158,'cause
159,tell
160,make
161,break
162,wanted
163,love
164,song
165,'cause
166,asked
167,'cause
168,need
169,one
170,see
171,i'm
172,gonna
173,write
174,love
175,song
176,'cause
177,tell
178,make
179,break
180,way
181,i'm
182,gonna
183,write
184,stay
185,heart
186,nowhere
187,want
188,minute
189,babe
190,i'll
191,walk
192,seven
193,seas
194,believe
195,there's
196,reason
197,write
198,love
199,song
200,today
201,today
