,Into You_Ariana Grande
0,i'm
1,barely
2,breathe
3,wanna
4,fall
5,deep
6,close
7,ain't
8,close
9,enough
10,'til
11,cross
12,line
13,hey
14,yeah
15,name
16,game
17,play
18,i'll
19,roll
20,dice
21,hey
22,prechorus
23,oh
24,baby
25,look
26,started
27,temperature's
28,rising
29,gonna
30,happen
31,waiting
32,waiting
33,make
34,move
35,make
36,move
37,baby
38,come
39,light
40,baby
41,i'll
42,let
43,little
44,bit
45,dangerous
46,baby
47,that's
48,want
49,little
50,less
51,conversation
52,little
53,touch
54,body
55,'cause
56,i'm
57,got
58,everyone
59,watchin'
60,us
61,baby
62,let's
63,keep
64,secret
65,little
66,bit
67,scandalous
68,baby
69,let
70,see
71,little
72,less
73,conversation
74,little
75,touch
76,body
77,'cause
78,i'm
79,oh
80,yeah
81,could
82,take
83,time
84,hey
85,made
86,many
87,mistakes
88,better
89,get
90,right
91,right
92,baby
93,prechorus
94,oh
95,baby
96,look
97,started
98,temperature's
99,rising
100,gonna
101,happen
102,waiting
103,waiting
104,make
105,move
106,make
107,move
108,baby
109,come
110,light
111,baby
112,i'll
113,let
114,little
115,bit
116,dangerous
117,baby
118,that's
119,want
120,little
121,less
122,conversation
123,little
124,touch
125,body
126,'cause
127,i'm
128,got
129,everyone
130,watchin'
131,us
132,baby
133,let's
134,keep
135,secret
136,little
137,bit
138,scandalous
139,baby
140,let
141,see
142,little
143,less
144,conversation
145,little
146,touch
147,body
148,'cause
149,i'm
150,oh
151,yeah
152,'cause
153,i'm
154,tell
155,came
156,'cause
157,can't
158,can't
159,wait
160,i'm
161,edge
162,control
163,need
164,need
165,know
166,know
167,oh
168,baby
169,come
170,light
171,baby
172,i'll
173,let
174,little
175,bit
176,dangerous
177,baby
178,that's
179,want
180,little
181,less
182,conversation
183,little
184,touch
185,body
186,'cause
187,i'm
188,got
189,everyone
190,watchin'
191,us
192,baby
193,let's
194,keep
195,secret
196,little
197,bit
198,scandalous
199,baby
200,let
201,see
202,little
203,less
204,conversation
205,little
206,touch
207,body
208,'cause
209,i'm
210,come
211,light
212,come
213,light
214,baby
215,little
216,dangerous
217,little
218,dangerous
219,boy
220,little
221,less
222,conversation
223,little
224,touch
225,body
226,'cause
227,i'm
