,Skeptics And True Believers_The Academy Is...
0,scared
1,lead
2,like
3,weeks
4,selfish
5,i'm
6,sorry
7,i'm
8,gone
9,going
10,nowhere
11,fast
12,nowhere
13,fast
14,nowhere
15,fast
16,would
17,believe
18,said
19,need
20,'cause
21,believe
22,said
23,near
24,death
25,last
26,breath
27,barely
28,hanging
29,would
30,believe
31,said
32,need
33,scared
34,take
35,second
36,reflection
37,take
38,leave
39,absence
40,see
41,made
42,i'm
43,selfish
44,sorry
45,i'm
46,gone
47,going
48,nowhere
49,fast
50,who's
51,selfish
52,who's
53,sorry
54,would
55,believe
56,said
57,need
58,'cause
59,believe
60,said
61,near
62,death
63,last
64,breath
65,barely
66,hanging
67,would
68,believe
69,said
70,need
71,postchorus
72,someone
73,aomewhere
74,said
75,things
76,may
77,sparked
78,sympathy
79,believe
80,believe
81,word
82,heard
83,scared
84,harder
85,scared
86,scared
87,harder
88,scared
89,harder
90,scared
91,harder
92,scared
93,would
94,believe
95,said
96,need
97,'cause
98,believe
99,said
100,near
101,death
102,last
103,breath
104,barely
105,hanging
106,would
107,believe
108,said
109,need
110,postchorus
111,someone
112,somewhere
113,said
114,things
115,may
116,sparked
117,sympathy
118,believe
119,believe
120,word
121,heard
122,would
123,believe
124,said
125,need
126,'cause
127,believe
128,believe
129,would
130,believe
131,said
132,need
133,'cause
134,believe
135,believe
