,Open Your Eyes_Snow Patrol
0,feels
1,strange
2,untrue
3,waste
4,minute
5,without
6,bones
7,ache
8,skin
9,feels
10,cold
11,i'm
12,getting
13,tired
14,old
15,anger
16,swells
17,guts
18,feel
19,slices
20,cuts
21,want
22,much
23,open
24,eyes
25,cause
26,need
27,look
28,mine
29,tell
30,open
31,eyes
32,tell
33,open
34,eyes
35,tell
36,open
37,eyes
38,tell
39,open
40,eyes
41,get
42,get
43,get
44,away
45,liars
46,cause
47,get
48,soul
49,fire
50,take
51,hand
52,knot
53,fingers
54,mine
55,we'll
56,walk
57,dark
58,room
59,last
60,time
61,every
62,minute
63,minute
64,like
65,anywhere
66,want
67,much
68,open
69,eyes
70,cause
71,need
72,look
73,mine
74,tell
75,open
76,eyes
77,tell
78,open
79,eyes
80,tell
81,open
82,eyes
83,tell
84,open
85,eyes
86,tell
87,open
88,eyes
89,tell
90,open
91,eyes
92,tell
93,open
94,eyes
95,tell
96,open
97,eyes
98,feels
99,strange
100,untrue
101,waste
102,minute
103,without
