,Hungry Eyes_Eric Carmen
0,i've
1,meaning
2,tell
3,i've
4,got
5,feeling
6,subside
7,look
8,fantasize
9,mine
10,tonight
11,i've
12,got
13,sights
14,hungry
15,eyes
16,one
17,look
18,can't
19,disguise
20,i've
21,got
22,hungry
23,eyes
24,feel
25,magic
26,want
27,hold
28,hear
29,want
30,show
31,love's
32,darling
33,tonight
34,i've
35,got
36,sights
37,hungry
38,eyes
39,one
40,look
41,can't
42,disguise
43,i've
44,got
45,hungry
46,eyes
47,feel
48,magic
49,i've
50,got
51,hungry
52,eyes
53,i've
54,got
55,sights
56,hungry
57,eyes
58,take
59,surprise
60,need
61,see
62,love
63,meant
64,i've
65,got
66,hungry
67,eyes
68,one
69,look
70,can't
71,disguise
72,i've
73,got
74,hungry
75,eyes
76,feel
77,magic
78,i've
79,got
80,hungry
81,eyes
82,i've
83,got
84,sights
85,hungry
86,eyes
87,take
88,surprise
89,hungry
90,eyes
91,i've
92,got
93,hungry
94,eyes
95,i've
96,got
97,sights
98,hungry
99,eyes
