,Run_Snow Patrol
0,i'll
1,sing
2,one
3,last
4,time
5,really
6,go
7,thing
8,that's
9,right
10,i've
11,done
12,barely
13,look
14,every
15,single
16,time
17,know
18,we'll
19,make
20,anywhere
21,away
22,light
23,light
24,choice
25,even
26,cannot
27,hear
28,voice
29,i'll
30,right
31,beside
32,dear
33,louder
34,louder
35,we'll
36,run
37,lives
38,hardly
39,speak
40,understand
41,can't
42,raise
43,voice
44,say
45,think
46,might
47,see
48,eyes
49,makes
50,hard
51,cry
52,say
53,long
54,goodbye
55,nearly
56,light
57,light
58,choice
59,even
60,cannot
61,hear
62,voice
63,i'll
64,right
65,beside
66,dear
67,louder
68,louder
69,we'll
70,run
71,lives
72,hardly
73,speak
74,understand
75,can't
76,raise
77,voice
78,say
79,slower
80,slower
81,time
82,want's
83,find
84,easy
85,way
86,get
87,little
88,heads
89,heart
90,dear
91,we're
92,bound
93,afraid
94,even
95,days
96,making
97,mess
98,light
99,light
100,choice
101,even
102,cannot
103,hear
104,voice
105,i'll
106,right
107,beside
108,dear
