,I Don't Want to Get Over You_The Magnetic Fields
0,click
1,read
2,stephin's
3,account
4,making
5,want
6,get
7,want
8,get
9,guess
10,could
11,take
12,sleeping
13,pill
14,sleep
15,go
16,go
17,guess
18,take
19,prozac
20,right
21,smile
22,night
23,somebody
24,new
25,somebody
26,bright
27,sweet
28,kind
29,would
30,try
31,get
32,mind
33,could
34,leave
35,agony
36,behind
37,i'd
38,wanted
39,want
40,get
41,cause
42,want
43,get
44,love
45,could
46,listen
47,therapist
48,pretend
49,exist
50,dream
51,dream
52,could
53,listen
54,friends
55,go
56,pretend
57,enough
58,could
59,make
60,career
61,blue
62,could
63,dress
64,black
65,read
66,camus
67,smoke
68,clove
69,cigarettes
70,drink
71,vermouth
72,like
73,would
74,scream
75,want
76,get
