,Stars_Simply Red
0,anyone
1,ever
2,held
3,would
4,tell
5,way
6,i'm
7,feeling
8,anyone
9,ever
10,wanted
11,would
12,try
13,tell
14,feel
15,inside
16,thing
17,ever
18,wanted
19,feeling
20,ain't
21,faking
22,one
23,ever
24,thought
25,wait
26,minute
27,can't
28,see
29,wanna
30,fall
31,stars
32,straight
33,arms
34,feel
35,yeah
36,hope
37,comprehend
38,man
39,tried
40,hurt
41,he's
42,explaining
43,way
44,i'm
45,feeling
46,jealousy
47,caused
48,states
49,reason
50,i'm
51,trying
52,hide
53,things
54,taught
55,sends
56,future
57,clearer
58,dimensions
59,never
60,know
61,much
62,hurt
63,stay
64,minute
65,can't
66,see
67,wanna
68,fall
69,stars
70,straight
71,arms
72,feel
73,yeah
74,hope
75,comprehend
76,many
77,hearts
78,broken
79,lover's
80,promise
81,never
82,came
83,maybe
84,many
85,words
86,left
87,unspoken
88,silent
89,voices
90,driving
91,crazy
92,pain
93,caused
94,making
95,could
96,never
97,intention
98,never
99,know
100,much
101,hurt
102,stay
103,can't
104,see
105,wanna
106,fall
107,stars
108,straight
109,arms
110,feel
111,yeah
112,hope
113,comprehend
114,wanna
115,fall
116,stars
117,straight
118,arms
119,oh
120,feel
121,hope
122,comprehend
