,Kiss You_One Direction
0,zayn
1,harry
2,oh
3,wanna
4,take
5,anywhere
6,like
7,could
8,go
9,day
10,night
11,baby
12,i'll
13,take
14,take
15,baby
16,i'll
17,take
18,yeah
19,oh
20,tell
21,tell
22,tell
23,turn
24,love
25,get
26,get
27,anything
28,want
29,baby
30,shout
31,shout
32,baby
33,shout
34,yeah
35,prechorus
36,liam
37,harry
38,want
39,let's
40,make
41,move
42,yeah
43,tell
44,girl
45,every
46,time
47,harry
48,touch
49,get
50,kind
51,rush
52,baby
53,say
54,yeah
55,yeah
56,wanna
57,take
58,slow
59,wanna
60,take
61,home
62,baby
63,say
64,yeah
65,yeah
66,let
67,kiss
68,zayn
69,niall
70,oh
71,baby
72,baby
73,know
74,got
75,need
76,looking
77,good
78,head
79,feet
80,come
81,come
82,come
83,come
84,yeah
85,oh
86,wanna
87,show
88,friends
89,making
90,drool
91,chinnychinchins
92,baby
93,mine
94,tonight
95,mine
96,tonight
97,baby
98,mine
99,tonight
100,yeah
101,prechorus
102,liam
103,zayn
104,want
105,let's
106,make
107,move
108,yeah
109,tell
110,girl
111,every
112,time
113,zayn
114,touch
115,get
116,kind
117,rush
118,baby
119,say
120,yeah
121,yeah
122,wanna
123,take
124,slow
125,wanna
126,take
127,home
128,baby
129,say
130,yeah
131,yeah
132,let
133,kiss
134,louis
135,c'mon
136,nananananananana
137,nananananananana
138,nananananananana
139,yeah
140,tell
141,girl
142,every
143,time
144,touch
145,get
146,kind
147,rush
148,baby
149,say
150,yeah
151,yeah
152,wanna
153,take
154,slow
155,wanna
156,take
157,home
158,baby
159,say
160,yeah
161,yeah
162,harry
163,every
164,time
165,touch
166,get
167,kind
168,rush
169,baby
170,say
171,yeah
172,yeah
173,wanna
174,take
175,slow
176,wanna
177,take
178,home
179,baby
180,say
181,yeah
182,yeah
183,let
184,kiss
