,What's My Name?_Rihanna
0,rihanna
1,oh
2,nana
3,what's
4,name
5,oh
6,nana
7,what's
8,name
9,oh
10,nana
11,what's
12,name
13,oh
14,nana
15,what's
16,name
17,oh
18,nana
19,what's
20,name
21,what's
22,name
23,what's
24,name
25,drake
26,uh
27,yeah
28,heard
29,good
30,soft
31,lips
32,yeah
33,know
34,word
35,mouth
36,square
37,root
38,somethin'
39,right
40,'cause
41,i've
42,tryna
43,work
44,oh
45,uh
46,good
47,weed
48,white
49,wine
50,uh
51,come
52,alive
53,night
54,time
55,yeah
56,okay
57,away
58,go
59,thing
60,radio
61,let
62,play
63,say
64,gotta
65,leave
66,know
67,wanna
68,stay
69,waitin'
70,traffic
71,jam
72,finish
73,girl
74,things
75,could
76,twenty
77,minutes
78,girl
79,say
80,name
81,say
82,name
83,wear
84,gettin'
85,hot
86,crack
87,window
88,air
89,get
90,mighty
91,long
92,day
93,soon
94,go
95,text
96,write
97,gon'
98,say
99,rihanna
100,oh
101,nana
102,what's
103,name
104,oh
105,nana
106,what's
107,name
108,oh
109,nana
110,what's
111,name
112,what's
113,name
114,what's
115,name
116,rihanna
117,everybody
118,knows
119,work
120,body
121,knows
122,make
123,want
124,boy
125,stay
126,got
127,somethin'
128,keeps
129,balance
130,baby
131,challenge
132,let's
133,explore
134,talent
135,refrain
136,rihanna
137,hey
138,boy
139,really
140,wanna
141,see
142,go
143,downtown
144,girl
145,like
146,hey
147,boy
148,really
149,wanna
150,'cause
151,type
152,ooh
153,na
154,na
155,na
156,na
157,need
158,boy
159,take
160,lookin'
161,guy
162,put
163,work
164,uh
165,ohhohoh
166,ohhohoh
167,hey
168,boy
169,really
170,wanna
171,see
172,go
173,downtown
174,girl
175,like
176,hey
177,boy
178,really
179,wanna
180,'cause
181,type
182,ooh
183,na
184,na
185,na
186,na
187,need
188,boy
189,take
190,lookin'
191,guy
192,put
193,work
194,uh
195,ohhohoh
196,ohhohoh
197,rihanna
198,oh
199,nana
200,what's
201,name
202,oh
203,nana
204,what's
205,name
206,oh
207,nana
208,what's
209,name
210,what's
211,name
212,what's
213,name
214,rihanna
215,baby
216,got
217,ain't
218,nowhere
219,i'd
220,arms
221,around
222,back
223,forth
224,rock
225,yeah
226,surrender
227,every
228,word
229,whisper
230,every
231,door
232,enter
233,let
234,refrain
235,rihanna
236,hey
237,boy
238,really
239,wanna
240,see
241,go
242,downtown
243,girl
244,like
245,hey
246,boy
247,really
248,wanna
249,'cause
250,type
251,ooh
252,na
253,na
254,na
255,na
256,need
257,boy
258,take
259,lookin'
260,guy
261,put
262,work
263,uh
264,ohhohoh
265,ohhohoh
266,rihanna
267,amazing
268,took
269,time
270,figure
271,that's
272,take
273,way
274,past
275,point
276,turnin'
277,'bout
278,break
279,swear
280,got
281,losin'
282,mind
283,rihanna
284,oh
285,nana
286,what's
287,name
288,oh
289,nana
290,what's
291,name
292,oh
293,nana
294,what's
295,name
296,oh
297,nana
298,what's
299,name
300,oh
301,nana
302,what's
303,name
304,what's
305,name
306,what's
307,name
308,refrain
309,rihanna
310,hey
311,boy
312,really
313,wanna
314,see
315,go
316,downtown
317,girl
318,like
319,hey
320,boy
321,really
322,wanna
323,'cause
324,type
325,ooh
326,na
327,na
328,na
329,na
330,need
331,boy
332,take
333,lookin'
334,guy
335,put
336,work
337,uh
338,ohhohoh
339,ohhohoh
340,hey
341,boy
342,really
343,wanna
344,see
345,go
346,downtown
347,girl
348,like
349,hey
350,boy
351,really
352,wanna
353,'cause
354,type
355,ooh
356,na
357,na
358,na
359,na
360,need
361,boy
362,take
363,lookin'
364,guy
365,put
366,work
367,uh
368,ohhohoh
369,ohhohoh
