,I Remember_Yeasayer
0,remember
1,making
2,love
3,sunday
4,bright
5,floating
6,hearts
7,fresh
8,cut
9,grass
10,may
11,woah
12,remember
13,making
14,airplane
15,still
16,afraid
17,flying
18,i'd
19,die
20,today
21,woah
22,remember
23,smell
24,skin
25,forever
26,love
27,us
28,stupid
29,together
30,woah
31,stuck
32,mind
33,time
34,stuck
35,mind
36,time
37,stuck
38,mind
39,time
40,remember
41,monday
42,making
43,eyes
44,red
45,still
46,know
47,said
48,woah
49,remember
50,thinking
51,would
52,never
53,end
54,even
55,gone
56,eyes
57,running
58,head
59,woah
60,stuck
61,mind
62,time
63,stuck
64,mind
65,time
66,stuck
67,mind
68,time
69,stuck
70,mind
71,time
