,"Gone, Gone, Gone_Phillip Phillips"
0,life
1,leaves
2,high
3,dry
4,i'll
5,door
6,tonight
7,need
8,help
9,need
10,help
11,i'll
12,shut
13,city
14,lights
15,i'll
16,lie
17,cheat
18,i'll
19,beg
20,bribe
21,make
22,well
23,make
24,well
25,enemies
26,door
27,i'll
28,carry
29,away
30,war
31,need
32,help
33,need
34,help
35,hope
36,dangling
37,string
38,i'll
39,share
40,suffering
41,make
42,well
43,make
44,well
45,give
46,reasons
47,believe
48,would
49,baby
50,i'm
51,moving
52,i'll
53,love
54,long
55,gone
56,never
57,sleep
58,alone
59,i'll
60,love
61,long
62,gone
63,long
64,gone
65,gone
66,gone
67,fall
68,like
69,statue
70,i'm
71,gon'
72,catch
73,put
74,feet
75,feet
76,well
77,empty
78,thing
79,prevent
80,tell
81,need
82,need
83,pre
84,surrender
85,honestly
86,always
87,done
88,baby
89,i'm
90,moving
91,i'll
92,love
93,long
94,gone
95,never
96,sleep
97,alone
98,i'll
99,love
100,long
101,gone
102,long
103,gone
104,gone
105,gone
106,backbone
107,cornerstone
108,crutch
109,legs
110,stop
111,moving
112,head
113,start
114,rugged
115,heart
116,pulse
117,i've
118,always
119,needed
120,like
121,drum
122,baby
123,stop
124,beating
125,like
126,drum
127,baby
128,stop
129,beating
130,like
131,drum
132,baby
133,stop
134,beating
135,like
136,drum
137,heart
138,never
139,stops
140,beating
141,baby
142,i'm
143,moving
144,i'll
145,love
146,long
147,gone
148,never
149,sleep
150,alone
151,i'll
152,love
153,long
154,gone
155,baby
156,i'm
157,moving
158,i'll
159,love
160,long
161,gone
162,never
163,sleep
164,alone
165,i'll
166,love
167,long
168,long
169,gone
170,like
171,drum
172,baby
173,stop
174,beating
175,like
176,drum
177,baby
178,stop
179,beating
180,like
181,drum
182,baby
183,stop
184,beating
185,like
186,drum
187,heart
188,never
189,stops
190,beating
191,long
192,gone
193,gone
194,gone
195,i'll
196,love
197,long
198,gone
199,gone
200,gone
