,Beautiful Freak_Eels
0,beautiful
1,freak
2,wish
3,like
4,like
5,others
6,love
7,beautiful
8,freak
9,beautiful
10,freak
11,love
12,beautiful
13,freak
14,beautiful
15,freak
16,people
17,think
18,problem
19,problem
20,lies
21,cause
22,like
23,others
24,love
25,beautiful
26,freak
27,beautiful
28,freak
29,yeah
30,love
31,beautiful
32,freak
33,beautiful
34,freak
35,good
36,world
37,hope
38,stay
39,i'll
40,see
41,fade
42,away
43,beautiful
44,freak
45,bet
46,flying
47,inside
48,dart
49,go
50,cover
51,know
52,love
53,beautiful
54,freak
55,beautiful
56,freak
57,know
58,love
59,beautiful
60,freak
61,beautiful
62,freak
63,beautiful
64,freak
65,beautiful
66,freak
67,beautiful
68,freak
69,beautiful
70,freak
