,I Just Want to Make Love to You_Etta James
0,want
1,slave
2,want
3,work
4,day
5,want
6,true
7,wanna
8,make
9,love
10,love
11,ooohooo
12,love
13,want
14,wash
15,clothes
16,want
17,keep
18,indoors
19,nothing
20,keep
21,making
22,love
23,love
24,ooohooo
25,love
26,tell
27,way
28,walk
29,walk
30,hear
31,way
32,talk
33,talk
34,know
35,way
36,treat
37,girl
38,could
39,give
40,loving
41,whole
42,wide
43,world
44,want
45,bake
46,bread
47,make
48,sure
49,well
50,fed
51,want
52,sad
53,blue
54,wanna
55,make
56,love
57,love
58,ooohooo
59,love
60,oooh
61,tell
62,way
63,walk
64,walk
65,hear
66,way
67,talk
68,talk
69,know
70,way
71,treat
72,girl
73,could
74,give
75,loving
76,whole
77,wide
78,world
79,oh
80,wanna
81,wanna
82,cook
83,bread
84,make
85,sure
86,well
87,fed
88,want
89,sad
90,blue
91,wanna
92,make
93,love
94,love
95,ooohooo
96,real
97,love
98,ooohooo
99,love
100,ooohooo
