,The Man Who Can't Be Moved_The Script
0,going
1,back
2,corner
3,first
4,saw
5,gonna
6,camp
7,sleeping
8,bag
9,i'm
10,gonna
11,move
12,got
13,words
14,cardboard
15,got
16,picture
17,hand
18,saying
19,see
20,girl
21,tell
22,try
23,hand
24,money
25,understand
26,i'm
27,broke
28,i'm
29,brokenhearted
30,man
31,know
32,makes
33,sense
34,else
35,move
36,i'm
37,still
38,love
39,'cause
40,one
41,day
42,wake
43,find
44,missing
45,heart
46,starts
47,wonder
48,earth
49,could
50,thinking
51,maybe
52,come
53,back
54,place
55,we'd
56,meet
57,see
58,waiting
59,corner
60,street
61,i'm
62,moving
63,i'm
64,moving
65,policeman
66,says
67,son
68,can't
69,stay
70,say
71,there's
72,someone
73,i'm
74,waiting
75,day
76,month
77,year
78,gotta
79,stand
80,ground
81,even
82,rains
83,snows
84,changes
85,mind
86,first
87,place
88,go
89,'cause
90,one
91,day
92,wake
93,find
94,missing
95,heart
96,starts
97,wonder
98,earth
99,could
100,thinking
101,maybe
102,come
103,back
104,place
105,we'd
106,meet
107,see
108,waiting
109,corner
110,street
111,i'm
112,moving
113,i'm
114,moving
115,i'm
116,moving
117,i'm
118,moving
119,people
120,talk
121,guy
122,who's
123,waiting
124,girl
125,oh
126,holes
127,shoes
128,big
129,hole
130,world
131,yeah
132,maybe
133,i'll
134,get
135,famous
136,man
137,can't
138,moved
139,maybe
140,mean
141,see
142,news
143,come
144,running
145,corner
146,'cause
147,know
148,i'm
149,man
150,can't
151,moved
152,i'm
153,man
154,can't
155,moved
156,'cause
157,one
158,day
159,wake
160,find
161,missing
162,find
163,missing
164,heart
165,starts
166,wonder
167,earth
168,could
169,oh
170,earth
171,could
172,thinking
173,maybe
174,come
175,back
176,place
177,we'd
178,meet
179,place
180,we'd
181,meet
182,oh
183,oh
184,see
185,waiting
186,corner
187,street
188,corner
189,street
190,'cause
191,one
192,day
193,wake
194,find
195,missing
196,i'm
197,moving
198,heart
199,starts
200,wonder
201,earth
202,could
203,i'm
204,moving
205,thinking
206,maybe
207,come
208,back
209,place
210,we'd
211,meet
212,i'm
213,moving
214,see
215,waiting
216,corner
217,street
218,i'm
219,moving
220,going
221,back
222,corner
223,first
224,saw
225,gonna
226,camp
227,sleeping
228,bag
229,i'm
230,gonna
231,move
