,Do You Want to Know a Secret_The Beatles
0,never
1,know
2,much
3,really
4,love
5,never
6,know
7,much
8,really
9,care
10,listen
11,want
12,know
13,secret
14,promise
15,tell
16,whoa
17,oh
18,oh
19,closer
20,let
21,whisper
22,ear
23,say
24,words
25,long
26,hear
27,i'm
28,love
29,ooh
30,listen
31,da
32,want
33,know
34,secret
35,da
36,promise
37,tell
38,da
39,whoa
40,oh
41,oh
42,closer
43,da
44,let
45,whisper
46,ear
47,da
48,say
49,words
50,long
51,hear
52,da
53,i'm
54,love
55,ooh
56,i've
57,known
58,secret
59,week
60,two
61,nobody
62,knows
63,two
64,listen
65,da
66,want
67,know
68,secret
69,da
70,promise
71,tell
72,da
73,whoa
74,oh
75,oh
76,closer
77,da
78,let
79,whisper
80,ear
81,da
82,say
83,words
84,long
85,hear
86,da
87,i'm
88,love
89,ooh
90,ooh
