,Faded From the Winter_Iron & Wine
0,daddy's
1,ghost
2,behind
3,sleeping
4,dog
5,beside
6,poem
7,mystery
8,prayer
9,inside
10,spoken
11,words
12,like
13,moonlight
14,voice
15,like
16,needlework
17,seedlings
18,way
19,walking
20,timbers
21,faded
22,winter
