,Paper Shoes_Incubus
0,fly
1,soar
2,adore
3,like
4,locomotive
5,sound
6,sorrow
7,comes
8,i’m
9,tired
10,way
11,feels
12,apologized
13,make
14,feel
15,better
16,think
17,i've
18,outgrown
19,horsehair
20,sweater
21,i’d
22,rather
23,alone
24,you’re
25,reliable
26,paper
27,shoes
28,bad
29,weather
30,pain
31,roll
32,like
33,water
34,feather
35,fly
36,soar
37,like
38,locomotive
39,sound
40,sorrow
41,comes
42,i’m
43,tired
44,way
45,feels
46,apologized
47,make
48,feel
49,better
50,think
51,i've
52,outgrown
53,horsehair
54,sweater
55,i’d
56,rather
57,alone
58,you’re
59,reliable
60,paper
61,shoes
62,bad
63,weather
64,pain
65,roll
66,like
67,water
68,feather
69,like
70,locomotive
71,sound
72,sorrow
73,comes
74,i’m
75,tired
76,way
77,feels
78,apologized
79,make
80,feel
81,better
82,think
83,i've
84,outgrown
85,horsehair
86,sweater
87,i’d
88,rather
89,alone
90,you’re
91,reliable
92,paper
93,shoes
94,bad
95,weather
96,pain
97,roll
98,like
99,water
100,feather
