,Re: Stacks_Bon Iver
0,excavation
1,to–
2,–day
3,kumran
4,everything
5,happens
6,pouring
7,rain
8,paralyzed
9,keep
10,throwing
11,two–
12,–hundred
13,time
14,hard
15,find
16,knew
17,money's
18,gone
19,drunk
20,hell
21,back
22,racks
23,stacks
24,load
25,back
26,racks
27,stacks
28,load
29,back
30,racks
31,unstacking
32,load
33,i've
34,twisting
35,sun
36,needed
37,replace
38,fountain
39,front
40,yard
41,rusted
42,love
43,frozen
44,ground
45,there's
46,black
47,crow
48,sitting
49,across
50,wiry
51,legs
52,crossed
53,he's
54,dangling
55,keys
56,even
57,fakes
58,toss
59,whatever
60,could
61,brought
62,loss
63,back
64,racks
65,stacks
66,load
67,back
68,racks
69,stacks
70,load
71,back
72,racks
73,unstacking
74,load
75,sound
76,new
77,man
78,crispy
79,realization
80,sound
81,unlocking
82,lift
83,away
84,love
85,safe
