,Pity Party_Melanie Martinez
0,invitations
1,disappear
2,why'd
3,put
4,heart
5,every
6,cursive
7,letter
8,tell
9,hell
10,one
11,tell
12,make
13,feel
14,better
15,prechorus
16,maybe
17,cruel
18,joke
19,whatever
20,whatever
21,means
22,there's
23,way
24,cake
25,forever
26,forever
27,party
28,i'll
29,cry
30,want
31,cry
32,want
33,cry
34,cry
35,cry
36,i'll
37,cry
38,candles
39,burn
40,place
41,i'll
42,cry
43,pity
44,party's
45,flames
46,party
47,i'll
48,cry
49,want
50,cry
51,want
52,cry
53,cry
54,cry
55,i'll
56,cry
57,candles
58,burn
59,place
60,i'll
61,cry
62,pity
63,party's
64,flames
65,maybe
66,knew
67,well
68,trapped
69,inside
70,hell
71,holds
72,maybe
73,casted
74,spell
75,told
76,decorations
77,pastel
78,ribbons
79,prechorus
80,maybe
81,cruel
82,joke
83,whatever
84,whatever
85,means
86,there's
87,way
88,cake
89,forever
90,forever
91,party
92,i'll
93,cry
94,want
95,cry
96,want
97,cry
98,cry
99,cry
100,i'll
101,cry
102,candles
103,burn
104,place
105,i'll
106,cry
107,pity
108,party's
109,flames
110,party
111,i'll
112,cry
113,want
114,cry
115,want
116,cry
117,cry
118,cry
119,i'll
120,cry
121,candles
122,burn
123,place
124,i'll
125,cry
126,pity
127,party's
128,flames
129,i'm
130,laughin'
131,i'm
132,cryin'
133,feels
134,like
135,i'm
136,dyin'
137,i'm
138,laughin'
139,i'm
140,cryin'
141,feels
142,like
143,i'm
144,dyin'
145,i'm
146,laughin'
147,i'm
148,cryin'
149,feels
150,like
151,i'm
152,dyin'
153,i'm
154,dyin'
155,i'm
156,dyin'
157,interlude
158,party
159,i'll
160,cry
161,want
162,want
163,want
164,party
165,i'll
166,cry
167,want
168,scream
169,party
170,i'll
171,cry
172,want
173,cry
174,want
175,cry
176,cry
177,cry
178,i'll
179,cry
180,candles
181,burn
182,place
183,i'll
184,cry
185,pity
186,party's
187,flames
188,party
189,i'll
190,cry
191,want
192,cry
193,want
194,cry
195,cry
196,cry
197,i'll
198,cry
199,candles
200,burn
201,place
202,i'll
203,cry
204,pity
205,party's
206,flames
207,party
208,it'sit's
209,party
210,party
211,it'sit's
212,party
213,party
214,i'll
215,cry
216,want
217,cry
218,want
219,cry
220,cry
221,cry
222,cry
223,cry
