,A Rush of Blood to the Head_Coldplay
0,said
1,i'm
2,gonna
3,buy
4,place
5,burn
6,i'm
7,gonna
8,put
9,six
10,feet
11,underground
12,said
13,i'm
14,gonna
15,buy
16,place
17,watch
18,fall
19,stand
20,beside
21,baby
22,crumbling
23,walls
24,oh
25,i'm
26,gonna
27,buy
28,place
29,start
30,fire
31,stand
32,fill
33,heart's
34,desires
35,i'm
36,gonna
37,buy
38,place
39,see
40,burn
41,back
42,things
43,return
44,oooh
45,oooh
46,oooh
47,oooh
48,said
49,i'm
50,gonna
51,buy
52,gun
53,start
54,war
55,tell
56,something
57,worth
58,fighting
59,oh
60,i'm
61,gonna
62,buy
63,place
64,that's
65,said
66,blame
67,upon
68,rush
69,blood
70,head
71,honey
72,movements
73,starting
74,make
75,see
76,crumble
77,fall
78,face
79,know
80,mistakes
81,made
82,see
83,disappear
84,without
85,trace
86,call
87,beckon
88,say
89,start
90,mean
91,go
92,start
93,mean
94,go
95,said
96,i'm
97,gonna
98,buy
99,place
100,see
101,go
102,stand
103,beside
104,baby
105,watch
106,orange
107,glow
108,laugh
109,sit
110,cry
111,sit
112,wonder
113,i'm
114,gonna
115,buy
116,gun
117,start
118,war
119,tell
120,something
121,worth
122,fighting
123,i'm
124,gonna
125,buy
126,place
127,that's
128,said
129,blame
130,upon
131,rush
132,blood
133,head
134,oh
135,head
136,oh
137,honey
138,movements
139,starting
140,make
141,see
142,crumble
143,fall
144,face
145,know
146,mistakes
147,made
148,see
149,disappear
150,without
151,trace
152,call
153,beckon
154,say
155,start
156,mean
157,go
158,mean
159,go
160,mean
161,go
162,meet
163,oh
164,meet
165,lane
166,going
167,see
168,pretty
169,face
170,meet
171,road
172,meet
173,said
174,blame
175,upon
176,rush
177,blood
178,head
