,Your Love Is King_Sade
0,love
1,king
2,crown
3,heart
4,love
5,king
6,never
7,need
8,part
9,kisses
10,ring
11,round
12,round
13,round
14,head
15,touching
16,part
17,making
18,soul
19,sing
20,tearing
21,heart
22,i'm
23,crying
24,love
25,king
26,crown
27,heart
28,love
29,king
30,ruler
31,heart
32,kisses
33,ring
34,round
35,round
36,round
37,head
38,touching
39,part
40,making
41,soul
42,sing
43,i'm
44,crying
45,love
46,king
47,i'm
48,coming
49,i'm
50,coming
51,making
52,dance
53,inside
54,love
55,king
56,crown
57,heart
58,love
59,king
60,never
61,need
62,part
63,kisses
64,ring
65,round
66,round
67,round
68,head
69,touching
70,part
71,making
72,soul
73,sing
74,tearing
75,heart
76,i'm
77,crying
78,touching
79,part
80,making
81,soul
82,sing
83,i'm
84,crying
85,love
86,king
87,blind
88,faith
89,sad
90,sorry
91,dream
92,blind
93,faith
94,love
95,love
96,real
97,gotta
98,crown
99,heart
100,love
101,king
102,never
103,never
104,need
105,part
106,love
107,king
108,touch
109,love
110,king
111,never
112,letting
113,go
114,love
115,king
116,love
117,king
118,never
119,letting
120,go
121,love
122,love
123,king
124,never
125,gonna
126,give
127,love
128,king
129,i'm
130,coming
131,love
132,king
133,making
134,dance
