,Your Song_Ellie Goulding
0,little
1,bit
2,funny
3,feeling
4,inside
5,i'm
6,one
7,easily
8,hide
9,much
10,money
11,boy
12,i'd
13,buy
14,big
15,house
16,could
17,live
18,excuse
19,forgetting
20,things
21,see
22,i've
23,forgotten
24,they're
25,green
26,they're
27,blue
28,anyway
29,thing
30,really
31,mean
32,sweetest
33,eyes
34,i've
35,ever
36,seen
37,tell
38,everybody
39,song
40,may
41,quite
42,simple
43,done
44,hope
45,mind
46,hope
47,mind
48,put
49,words
50,wonderful
51,life
52,world
53,sculptor
54,girl
55,makes
56,potions
57,traveling
58,show
59,know
60,much
61,best
62,gift
63,song
64,one's
65,ohh
66,tell
67,everybody
68,song
69,may
70,quite
71,simple
72,done
73,hope
74,mind
75,hope
76,mind
77,put
78,words
79,wonderful
80,life
81,world
