,Stephen_Ke$ha
0,stephen
1,stephen
2,call
3,stephen
4,call
5,saw
6,tightass
7,rocker
8,pants
9,saw
10,laughed
11,'cause
12,completely
13,trashed
14,watched
15,ugly
16,girlfriend
17,sneer
18,across
19,room
20,really
21,care
22,know
23,object
24,affection
25,drug
26,choice
27,sick
28,obsession
29,oh
30,stephen
31,call
32,i'm
33,sitting
34,waiting
35,call
36,stephen
37,i'm
38,feeling
39,pathetic
40,can't
41,take
42,rejection
43,call
44,i've
45,got
46,guys
47,waiting
48,line
49,play
50,evil
51,girly
52,games
53,minds
54,watch
55,i've
56,got
57,simple
58,art
59,bat
60,eyes
61,like
62,there's
63,broken
64,heart
65,somehow
66,turned
67,tables
68,hell
69,charm
70,pants
71,anyone
72,else
73,stephen
74,call
75,i'm
76,sitting
77,waiting
78,call
79,stephen
80,i'm
81,feeling
82,pathetic
83,can't
84,take
85,rejection
86,call
87,stephen
88,i'm
89,thinking
90,maybe
91,might
92,think
93,i'm
94,crazy
95,call
96,steve
97,think
98,i'm
99,pretty
100,love
101,call
102,breakdown
103,'cause
104,object
105,affection
106,drug
107,choice
108,sick
109,obsession
110,want
111,keep
112,pet
113,play
114,hide
115,bed
116,forever
117,stephen
118,call
119,i'm
120,sitting
121,waiting
122,call
123,stephen
124,i'm
125,feeling
126,pathetic
127,can't
128,take
129,rejection
130,call
131,spoken
132,stephen
133,i'll
134,knit
135,sweater
136,want
137,wrap
138,love
139,forever
140,i'll
141,never
142,let
143,go
144,stephen
145,i'll
146,never
147,let
148,go
149,stephen
150,call
151,i'm
152,sitting
153,waiting
154,call
155,stephen
156,i'm
157,feeling
158,pathetic
159,can't
160,take
161,rejection
162,call
