,All Out of Love_Air Supply
0,i'm
1,lying
2,alone
3,head
4,phone
5,thinking
6,till
7,hurts
8,know
9,hurt
10,else
11,tormented
12,torn
13,apart
14,wish
15,could
16,carry
17,smile
18,heart
19,times
20,life
21,seems
22,low
23,would
24,make
25,believe
26,tomorrow
27,could
28,bring
29,today
30,really
31,know
32,really
33,know
34,i'm
35,love
36,i'm
37,lost
38,without
39,know
40,right
41,believing
42,long
43,i'm
44,love
45,without
46,can't
47,late
48,say
49,wrong
50,want
51,come
52,back
53,carry
54,home
55,away
56,long
57,lonely
58,nights
59,i'm
60,reaching
61,feeling
62,feeling
63,seem
64,oh
65,right
66,would
67,say
68,called
69,said
70,can't
71,hold
72,there's
73,easy
74,way
75,gets
76,harder
77,day
78,please
79,love
80,i'll
81,gone
82,i'll
83,gone
84,i'm
85,love
86,i'm
87,lost
88,without
89,know
90,right
91,believing
92,long
93,i'm
94,love
95,without
96,can't
97,late
98,say
99,wrong
100,oh
101,thinking
102,thinking
103,thinking
104,thinking
105,i'm
106,love
107,i'm
108,lost
109,without
110,know
111,right
112,believing
113,long
114,i'm
115,love
116,without
117,can't
118,late
119,know
120,wrong
121,i'm
122,love
123,i'm
124,lost
125,without
126,know
127,right
128,believing
129,long
130,i'm
131,love
132,without
133,can't
134,late
135,know
136,wrong
137,i'm
138,love
139,i'm
140,lost
141,without
142,know
143,right
144,believing
145,long
146,i'm
147,love
148,without
149,can't
150,late
151,say
152,wrong
