,The Way I Loved You_Taylor Swift
0,sensible
1,incredible
2,single
3,friends
4,jealous
5,says
6,everything
7,need
8,hear
9,like
10,ask
11,anything
12,better
13,opens
14,door
15,get
16,car
17,says
18,look
19,beautiful
20,tonight
21,feel
22,perfectly
23,fine
24,miss
25,screaming
26,fighting
27,kissing
28,rain
29,2am
30,i'm
31,cursing
32,name
33,love
34,act
35,insane
36,that's
37,way
38,loved
39,breaking
40,coming
41,undone
42,roller
43,coaster
44,kind
45,rush
46,never
47,knew
48,could
49,feel
50,much
51,that's
52,way
53,loved
54,respects
55,space
56,never
57,makes
58,wait
59,calls
60,exactly
61,says
62,he's
63,close
64,mother
65,talks
66,business
67,father
68,he's
69,charming
70,endearing
71,i'm
72,comfortable
73,miss
74,screaming
75,fighting
76,kissing
77,rain
78,2am
79,i'm
80,cursing
81,name
82,love
83,acted
84,insane
85,that's
86,way
87,loved
88,breaking
89,coming
90,undone
91,roller
92,coaster
93,kind
94,rush
95,never
96,knew
97,could
98,feel
99,much
100,that's
101,way
102,loved
103,can't
104,see
105,smile
106,i'm
107,faking
108,heart's
109,breaking
110,'cause
111,i'm
112,feeling
113,anything
114,wild
115,crazy
116,frustrating
117,intoxicating
118,complicated
119,got
120,away
121,mistake
122,miss
123,screaming
124,fighting
125,kissing
126,rain
127,2am
128,i'm
129,cursing
130,name
131,i'm
132,love
133,acted
134,insane
135,that's
136,way
137,loved
138,breaking
139,coming
140,undone
141,roller
142,coaster
143,kind
144,rush
145,never
146,knew
147,could
148,feel
149,much
150,that's
151,way
152,loved
153,oh
154,oh
155,that's
156,way
157,loved
158,oh
159,oh
160,never
161,knew
162,could
163,feel
164,much
165,that's
166,way
167,loved
