,We Will Become Silhouettes_The Postal Service
0,i've
1,got
2,cupboard
3,cans
4,food
5,filtered
6,water
7,pictures
8,i'm
9,coming
10,i'm
11,looking
12,glass
13,light
14,bends
15,cracks
16,i'm
17,screaming
18,top
19,lungs
20,pretending
21,echoes
22,belong
23,someone
24,someone
25,used
26,know
27,become
28,silhouettes
29,bodies
30,finally
31,go
32,wanted
33,walk
34,empty
35,streets
36,feel
37,something
38,constant
39,feet
40,news
41,reports
42,recommended
43,stay
44,indoors
45,air
46,outside
47,make
48,cells
49,divide
50,alarming
51,rate
52,shells
53,simply
54,cannot
55,hold
56,insides
57,that's
58,we'll
59,explode
60,pretty
61,sight
62,we'll
63,become
64,silhouettes
65,bodies
66,finally
67,go
68,we'll
69,become
70,we'll
71,become
72,we'll
73,become
74,silhouettes
75,bodies
76,finally
77,go
78,we'll
79,become
80,we'll
81,become
82,we'll
83,become
84,silhouettes
85,bodies
86,finally
87,go
88,we'll
89,become
90,we'll
91,become
92,we'll
93,become
94,silhouettes
95,bodies
96,finally
97,go
98,we'll
99,become
100,we'll
101,become
102,we'll
103,become
104,we'll
105,become
