,Losing You_Solange
0,tell
1,truth
2,boy
3,losing
4,good
5,used
6,kiss
7,night
8,there’s
9,use
10,don’t
11,know
12,fight
13,clearly
14,tell
15,truth
16,boy
17,losing
18,good
19,know
20,waiting
21,words
22,can't
23,get
24,treat
25,good
26,baby
27,i'll
28,give
29,rest
30,i'm
31,one
32,making
33,enemy
34,i'm
35,one
36,making
37,enemy
38,tell
39,truth
40,boy
41,losing
42,good
43,used
44,kiss
45,night
46,there's
47,use
48,don’t
49,know
50,fight
51,clearly
52,tell
53,truth
54,boy
55,losing
56,good
57,there's
58,nothing
59,know
60,taking
61,away
62,gave
63,everything
64,there's
65,nothing
66,left
67,i'm
68,one
69,making
70,enemy
71,i'm
72,one
73,making
74,enemy
75,tell
76,truth
77,boy
78,losing
79,good
80,used
81,kiss
82,night
83,it’s
84,use
85,don’t
86,know
87,fight
88,clearly
89,tell
90,truth
91,boy
92,losing
93,good
94,tell
95,truth
96,boy
97,losing
98,good
99,baby
100,know
101,tried
102,can't
103,lose
104,life
105,used
106,kiss
107,night
108,it’s
109,use
110,baby
111,know
112,tried
113,could
114,waste
115,time
116,don’t
117,know
118,fight
119,clearly
120,baby
121,know
122,can't
123,lose
124,life
125,tell
126,truth
127,boy
128,losing
129,good
130,baby
131,know
