,"Jesus, Etc._Wilco"
0,jesus
1,cry
2,rely
3,honey
4,combine
5,anything
6,want
7,i'll
8,around
9,right
10,stars
11,one
12,setting
13,sun
14,tall
15,buildings
16,shake
17,voices
18,escape
19,singing
20,sad
21,sad
22,songs
23,tuned
24,chords
25,strung
26,cheeks
27,bitter
28,melodies
29,turning
30,orbit
31,around
32,cry
33,rely
34,honey
35,come
36,time
37,want
38,i'll
39,around
40,right
41,stars
42,one
43,setting
44,sun
45,tall
46,buildings
47,shake
48,voices
49,escape
50,singing
51,sad
52,sad
53,songs
54,tuned
55,chords
56,strung
57,cheeks
58,bitter
59,melodies
60,turning
61,orbit
62,around
63,voices
64,whine
65,skyscrapers
66,scraping
67,together
68,voice
69,smoking
70,last
71,cigarettes
72,get
73,turning
74,orbit
75,around
76,love
77,love
78,love
79,love
80,love
81,god's
82,money
83,everyone
84,burning
85,sun
86,tall
87,buildings
88,shake
89,voices
90,escape
91,singing
92,sad
93,sad
94,songs
95,tuned
96,chords
97,strung
98,cheeks
99,bitter
100,melodies
101,turning
102,orbit
103,around
104,voices
105,whine
106,skyscrapers
107,scraping
108,together
109,voice
110,smoking
111,last
112,cigarettes
113,get
114,turning
115,orbit
116,around
117,last
118,cigarettes
119,get
120,turning
121,orbit
122,around
123,last
124,cigarettes
125,get
126,turning
127,orbit
128,around
