,The Last Song_The All-American Rejects
0,may
1,last
2,thing
3,write
4,long
5,hear
6,smiling
7,sing
8,song
9,leave
10,someone
11,say
12,goodbye
13,leave
14,someone
15,wipe
16,eye
17,foot
18,door
19,can't
20,stop
21,prechorus
22,wanted
23,best
24,give
25,back
26,i'll
27,take
28,lead
29,there's
30,room
31,make
32,grow
33,i'll
34,see
35,pretend
36,naive
37,want
38,need
39,end
40,let
41,know
42,go
43,remember
44,simple
45,things
46,know
47,mind
48,crutch
49,still
50,hope
51,miss
52,i'm
53,gone
54,last
55,song
56,hearts
57,start
58,breaking
59,year
60,gone
61,dream's
62,beginning
63,time
64,rolls
65,seems
66,surreal
67,sing
68,somehow
69,knew
70,would
71,way
72,somehow
73,knew
74,would
75,slowly
76,fade
77,gone
78,try
79,stop
80,prechorus
81,wanted
82,best
83,give
84,back
85,i'll
86,take
87,lead
88,there's
89,room
90,make
91,grow
92,i'll
93,see
94,pretend
95,naive
96,want
97,need
98,end
99,let
100,know
101,go
102,remember
103,simple
104,things
105,know
106,mind
107,crutch
108,still
109,hope
110,miss
111,i'm
112,gone
113,last
114,song
115,need
116,find
117,way
118,somehow
119,want
120,want
121,go
122,remember
123,simple
124,things
125,know
126,mind
127,crutch
128,still
129,hope
130,miss
131,i'm
132,gone
133,last
134,song
135,go
136,go
137,remember
138,simple
139,things
140,know
141,things
142,know
143,mind
144,crutch
145,still
146,hope
147,miss
148,i'm
149,gone
150,last
151,song
