,Somebody to Love_Queen
0,anybody
1,find
2,somebody
3,love
4,ooh
5,morning
6,get
7,die
8,little
9,barely
10,stand
11,feet
12,take
13,look
14,mirror
15,cry
16,take
17,look
18,mirror
19,cry
20,lord
21,yeah
22,yeah
23,spent
24,years
25,believing
26,can't
27,get
28,relief
29,lord
30,somebody
31,somebody
32,ooh
33,somebody
34,somebody
35,anybody
36,find
37,somebody
38,love
39,yeah
40,work
41,hard
42,works
43,hard
44,every
45,day
46,life
47,work
48,'til
49,ache
50,bones
51,end
52,end
53,day
54,take
55,home
56,hardearned
57,pay
58,goes
59,home
60,goes
61,home
62,get
63,knees
64,knees
65,start
66,pray
67,praise
68,lord
69,'til
70,tears
71,run
72,eyes
73,lord
74,somebody
75,somebody
76,ooh
77,somebody
78,please
79,anybody
80,find
81,somebody
82,love
83,oh
84,works
85,hard
86,everyday
87,everyday
88,try
89,try
90,try
91,everybody
92,wants
93,put
94,say
95,i'm
96,goin'
97,crazy
98,say
99,got
100,lot
101,water
102,brain
103,got
104,common
105,sense
106,he's
107,got
108,got
109,nobody
110,left
111,believe
112,guitar
113,solo
114,oh
115,lord
116,ooh
117,somebody
118,ooh
119,somebody
120,anybody
121,find
122,somebody
123,love
124,anybody
125,find
126,someone
127,love
128,got
129,feel
130,got
131,rhythm
132,keep
133,losing
134,beat
135,keep
136,losing
137,losing
138,i'm
139,okay
140,i'm
141,alright
142,he's
143,alright
144,he's
145,alright
146,ain't
147,gonna
148,face
149,defeat
150,yeah
151,yeah
152,gotta
153,get
154,prison
155,cell
156,one
157,day
158,someday
159,i'm
160,gonna
161,free
162,lord
163,find
164,somebody
165,love
166,find
167,somebody
168,love
169,find
170,somebody
171,love
172,find
173,somebody
174,love
175,find
176,somebody
177,love
178,find
179,somebody
180,love
181,find
182,somebody
183,love
184,find
185,somebody
186,love
187,find
188,somebody
189,love
190,find
191,somebody
192,love
193,somebody
194,somebody
195,somebody
196,somebody
197,somebody
198,find
199,somebody
200,find
201,somebody
202,love
203,anybody
204,find
205,somebody
206,love
207,find
208,somebody
209,love
210,ooh
211,find
212,somebody
213,love
214,find
215,somebody
216,find
217,somebody
218,love
219,somebody
220,somebody
221,somebody
222,love
223,find
224,somebody
225,love
226,find
227,find
228,find
229,find
230,find
231,find
232,somebody
233,love
234,ooh
235,somebody
236,love
237,find
238,somebody
239,love
240,ooh
241,find
242,find
243,find
244,somebody
245,love
246,find
247,somebody
248,love
249,anybody
250,anywhere
251,anybody
252,find
253,somebody
254,love
255,love
256,find
257,find
258,find
