,The Animals Were Gone_Damien Rice
0,woke
1,first
2,time
3,animals
4,gone
5,left
6,house
7,empty
8,sure
9,belong
10,yesterday
11,asked
12,write
13,pleasant
14,song
15,i'll
16,best
17,gone
18,long
19,window's
20,open
21,winter
22,settles
23,we'll
24,call
25,christmas
26,adverts
27,begin
28,love
29,depression
30,love
31,double
32,chin
33,love
34,'most
35,everything
36,bring
37,offering
38,oh
39,know
40,left
41,places
42,despair
43,oh
44,know
45,love
46,please
47,throw
48,hair
49,night
50,trip
51,without
52,hope
53,wake
54,cause
55,waking
56,without
57,like
58,drinking
59,empty
60,cup
61,woke
62,first
63,time
64,animals
65,gone
66,clocks
67,ticking
68,time
69,gone
70,could
71,get
72,house
73,boxes
74,lawn
75,could
76,make
77,babies
78,accidental
79,songs
80,know
81,i've
82,liar
83,know
84,i've
85,fool
86,hope
87,break
88,yet
89,i'm
90,glad
91,broke
92,rules
93,cave
94,deep
95,yet
96,light
97,shining
98,cover
99,eyes
100,still
101,see
102,oh
103,know
104,left
105,places
106,despair
107,oh
108,know
109,love
110,please
111,throw
112,hair
113,night
114,trip
115,without
116,hope
117,wake
118,cause
119,waking
120,without
121,like
122,drinking
123,empty
124,cup
