,Can't Fight This Feeling_REO Speedwagon
0,oh
1,can't
2,fight
3,feeling
4,longer
5,yet
6,i'm
7,still
8,afraid
9,let
10,flow
11,started
12,friendship
13,grown
14,stronger
15,wish
16,strength
17,let
18,show
19,tell
20,can't
21,hold
22,forever
23,said
24,reason
25,fear
26,'cause
27,feel
28,secure
29,we're
30,together
31,give
32,life
33,direction
34,make
35,everything
36,clear
37,prechorus
38,even
39,wander
40,i'm
41,keeping
42,sight
43,candle
44,window
45,cold
46,dark
47,winter's
48,night
49,i'm
50,getting
51,closer
52,ever
53,thought
54,might
55,can't
56,fight
57,feeling
58,anymore
59,i've
60,forgotten
61,started
62,fighting
63,time
64,bring
65,ship
66,shore
67,throw
68,away
69,oars
70,forever
71,cause
72,can't
73,fight
74,feeling
75,anymore
76,i've
77,forgotten
78,started
79,fighting
80,crawl
81,upon
82,floor
83,come
84,crashing
85,door
86,baby
87,can't
88,fight
89,feeling
90,anymore
91,life
92,whirlwind
93,since
94,saw
95,i've
96,running
97,round
98,circles
99,mind
100,always
101,seems
102,i'm
103,following
104,girl
105,'cause
106,take
107,places
108,alone
109,i'd
110,never
111,find
112,prechorus
113,even
114,wander
115,i'm
116,keeping
117,sight
118,candle
119,window
120,cold
121,dark
122,winter's
123,night
124,i'm
125,getting
126,closer
127,ever
128,thought
129,might
130,can't
131,fight
132,feeling
133,anymore
134,i've
135,forgotten
136,started
137,fighting
138,time
139,bring
140,ship
141,shore
142,throw
143,away
144,oars
145,forever
146,cause
147,can't
148,fight
149,feeling
150,anymore
151,i've
152,forgotten
153,started
154,fighting
155,crawl
156,upon
157,floor
158,come
159,crashing
160,door
161,baby
162,can't
163,fight
164,feeling
165,anymore
