,Take My Breath Away_Berlin
0,watching
1,every
2,motion
3,foolish
4,lover's
5,game
6,endless
7,ocean
8,finally
9,lovers
10,know
11,shame
12,turning
13,returning
14,secret
15,place
16,inside
17,watching
18,slow
19,motion
20,turn
21,around
22,say
23,take
24,breath
25,away
26,take
27,breath
28,away
29,watching
30,keep
31,waiting
32,still
33,anticipating
34,love
35,never
36,hesitating
37,become
38,fated
39,ones
40,turning
41,returning
42,secret
43,place
44,find
45,watching
46,slow
47,motion
48,turn
49,say
50,love
51,take
52,breath
53,away
54,hourglass
55,saw
56,time
57,slipped
58,away
59,mirror
60,crashed
61,called
62,turned
63,hear
64,say
65,today
66,unafraid
67,take
68,breath
69,away
70,take
71,breath
72,away
73,watching
74,every
75,motion
76,foolish
77,lover's
78,game
79,haunted
80,notion
81,somewhere
82,there's
83,love
84,flames
85,turning
86,returning
87,secret
88,place
89,inside
90,watching
91,slow
92,motion
93,turn
94,way
95,say
96,take
97,breath
98,away
99,love
100,take
101,breath
102,away
103,love
104,take
105,breath
106,away
107,love
108,take
109,breath
110,away
111,love
