,Bury Your Head_Saosin
0,bury
1,head
2,bury
3,head
4,feeling
5,fine
6,coming
7,clean
8,tonight
9,i'll
10,falling
11,call
12,valentine
13,call
14,tonight
15,say
16,okay
17,things
18,said
19,i'm
20,rehearsing
21,things
22,said
23,i'm
24,rehearsing
25,went
26,back
27,us
28,closed
29,eyes
30,rolled
31,back
32,step
33,could
34,know
35,come
36,thought
37,emerges
38,take
39,back
40,step
41,could
42,never
43,love
44,eyes
45,changed
46,bury
47,head
48,child
49,smashed
50,psalms
51,never
52,call
53,fall
54,i'll
55,sleep
56,tonight
57,okay
58,say
59,okay
60,things
61,said
62,i'm
63,rehearsing
64,things
65,said
66,i'm
67,rehearsing
68,went
69,back
70,us
71,closed
72,eyes
73,rolled
74,back
75,step
76,could
77,know
78,come
79,thought
80,emerges
81,take
82,back
83,step
84,could
85,never
86,love
87,eyes
88,changed
89,ones
90,see
91,come
92,call
93,love
94,stole
95,lies
96,write
97,wandered
98,around
99,'round
100,mouth
101,stole
102,lies
103,write
104,stole
105,ones
106,see
107,enough
108,went
109,back
110,us
111,closed
112,eyes
113,rolled
114,back
115,step
116,could
117,know
118,come
119,thought
120,emerges
121,take
122,back
123,step
124,could
125,never
126,love
127,eyes
128,changed
129,coming
130,clean
131,tonight
